time noise chunk
1592352334 0.7 1022t
1592352547 0.7 446T
1592352548 0.7 1229T
1592352549 0.7 34T
1592352549 0.7 35T
1592352550 0.7 1027T
1592352551 0.7 864T
1592352552 0.7 865T
1592352552 0.7 864T
1592352553 0.7 482T
1592352555 0.7 428T
1592352556 0.7 1095T
1592352557 0.7 470T
1592352558 0.7 379T
1592352559 0.7 738T
1592352560 0.7 291T
1592352562 0.7 894T
1592352566 0.7 291T
1592352567 0.7 770T
1592352568 0.7 799T
1592352569 0.7 14T
1592352572 0.7 551T
1592352573 0.7 705T
1592352574 0.7 1307T
1592352576 0.7 327T
1592352577 0.7 88T
1592352579 0.7 788T
1592352582 0.7 561T
1592352585 0.7 363T
1592352586 0.7 1195T
1592352587 0.7 1218T
1592352588 0.7 1264T
1592352591 0.7 708T
1592352591 0.7 1096T
1592352592 0.7 1106T
1592352593 0.7 892T
1592352594 0.7 636T
1592352596 0.7 282T
1592352597 0.7 765T
1592352598 0.7 237T
1592352598 0.7 240T
1592352599 0.7 708T
1592352601 0.7 714T
1592352602 0.7 626T
1592352604 0.7 979T
1592352609 0.7 89T
1592352610 0.7 283T
1592352611 0.7 89T
1592352612 0.7 668T
1592352613 0.7 664T
1592352614 0.7 801T
1592352615 0.7 100T
1592352616 0.7 1041T
1592352617 0.7 835T
1592352619 0.7 795T
1592352619 0.7 544T
1592352621 0.7 100T
1592352622 0.7 812T
1592352623 0.7 804T
1592352623 0.7 812T
1592352624 0.7 804T
1592352625 0.7 809T
1592352628 0.7 878T
1592352628 0.7 1236T
1592352629 0.7 963T
1592352634 0.7 1236T
1592352634 0.7 878T
1592352635 0.7 963T
1592352635 0.7 999T
1592352637 0.7 325T
1592352639 0.7 607T
1592352640 0.7 979T
1592352644 0.7 14T
1592352650 0.7 177T
1592352651 0.7 179T
1592352652 0.7 713T
1592352654 0.7 709T
1592352656 0.7 704T
1592352657 0.7 689T
1592352658 0.7 1298T
1592352659 0.7 752T
1592352660 0.7 790T
1592352661 0.7 604T
1592352662 0.7 267T
1592352663 0.7 877T
1592352664 0.7 90T
1592352666 0.7 80T
1592352667 0.7 717T
1592352670 0.7 764T
1592352671 0.7 810T
1592352672 0.7 626T
1592352673 0.7 647T
1592352675 0.7 188T
1592352677 0.7 834T
1592352678 0.7 913T
1592352679 0.7 912T
1592352680 0.7 305T
1592352681 0.7 310T
1592352687 0.7 308T
1592352688 0.7 810T
1592352689 0.7 929T
1592352692 0.7 300T
1592352694 0.7 177T
1592352696 0.7 184T
1592352697 0.7 1194T
1592352703 0.7 300T
1592352712 0.7 709T
1592352713 0.7 686T
1592352716 0.7 750T
1592352719 0.7 625T
1592352736 0.7 29T
1592352740 0.7 623T
1592352741 0.7 1296T
1592352742 0.7 1307T
1592352743 0.7 892T
1592352744 0.7 14T
1592352745 0.7 606T
1592352746 0.7 605T
1592352747 0.7 606T
1592352755 0.7 346T
1592352756 0.7 1103T
1592352761 0.7 1107T
1592352762 0.7 1108T
1592352765 0.7 887T
1592352767 0.7 766T
1592352769 0.7 727T
1592352770 0.7 268T
1592352772 0.7 812T
1592352774 0.7 804T
1592352775 0.7 811T
1592352776 0.7 810T
1592352778 0.7 566T
1592352778 0.7 30T
1592352781 0.7 31T
1592352783 0.7 108T
1592352786 0.7 107T
1592352789 0.7 106T
1592352790 0.7 717T
1592352793 0.7 296T
1592352794 0.7 880T
1592352794 0.7 527T
1592352795 0.7 764T
1592352796 0.7 108T
1592352797 0.7 174T
1592352797 0.7 1299T
1592352800 0.7 354T
1592352800 0.7 796T
1592352803 0.7 523T
1592352804 0.7 1298T
1592352805 0.7 774T
1592352808 0.7 997T
1592352809 0.7 610T
1592352811 0.7 951T
1592352813 0.7 997T
1592352823 0.7 611T
1592352829 0.7 45T
1592352831 0.7 1225T
1592352833 0.7 44T
1592352834 0.7 1093T
1592352836 0.7 1092T
1592352838 0.7 933T
1592352840 0.7 935T
1592352840 0.7 934T
1592352841 0.7 935T
1592352842 0.7 934T
1592352843 0.7 935T
1592352844 0.7 934T
1592352845 0.7 933T
1592352845 0.7 270T
1592352846 0.7 1089T
1592352847 0.7 811T
1592352850 0.7 758T
1592352852 0.7 678T
1592352854 0.7 679T
1592352855 0.7 678T
1592352856 0.7 23T
1592352857 0.7 809T
1592352861 0.7 913T
1592352862 0.7 1236T
1592352863 0.7 356T
1592352867 0.7 962T
1592352868 0.7 967T
1592352870 0.7 782T
1592352871 0.7 301T
1592352873 0.7 1173T
1592352877 0.7 1166T
1592352880 0.7 1078T
1592352883 0.7 90T
1592352885 0.7 1281T
1592352886 0.7 664T
1592352888 0.7 110T
1592352889 0.7 94T
1592352893 0.7 178T
1592352896 0.7 96T
1592352899 0.7 283T
1592352902 0.7 89T
1592352903 0.7 283T
1592352903 0.7 290T
1592352904 0.7 787T
1592352905 0.7 1122T
1592352910 0.7 1002T
1592352910 0.7 86T
1592352911 0.7 736T
1592352912 0.7 85T
1592352914 0.7 348T
1592352917 0.7 1051T
1592352917 0.7 314T
1592352918 0.7 316T
1592352920 0.7 314T
1592352921 0.7 915T
1592352923 0.7 1002T
1592352927 0.7 1088T
1592352929 0.7 1261T
1592352929 0.7 1006T
1592352930 0.7 158T
1592352930 0.7 157T
1592352931 0.7 158T
1592352932 0.7 1048T
1592352933 0.7 1074T
1592352934 0.7 735T
1592352936 0.7 84T
1592352937 0.7 899T
1592352944 0.7 1284T
1592352948 0.7 720T
1592352949 0.7 1330T
1592352952 0.7 92T
1592352996 0.7 110T
1592352999 0.7 1146T
1592353001 0.7 601T
1592353002 0.7 957T
1592353005 0.7 30T
1592353005 0.7 31T
1592353006 0.7 1135T
1592353007 0.7 1228T
1592353010 0.7 1259T
1592353018 0.7 1193T
1592353022 0.7 1228T
1592353027 0.7 733T
1592353035 0.7 732T
1592353040 0.7 1009T
1592353041 0.7 1236T
1592353044 0.7 684T
1592353046 0.7 980T
1592353057 0.7 979T
1592353069 0.7 1156T
1592353071 0.7 773T
1592353072 0.7 1204T
1592353075 0.7 1190T
1592353075 0.7 1186T
1592353077 0.7 1229T
1592353079 0.7 91T
1592353081 0.7 756T
1592353083 0.7 927T
1592353086 0.7 826T
1592353088 0.7 1264T
1592353090 0.7 567T
1592353092 0.7 609T
1592353093 0.7 1128T
1592353094 0.7 55T
1592353097 0.7 1300T
1592353099 0.7 564T
1592353101 0.7 807T
