time noise chunk
1593686931 0.7 1328t
1593686959 0.7 1242T
1593687097 0.7 272T
1593687102 0.7 538T
1593687104 0.7 536T
1593687105 0.7 538T
1593687107 0.7 371T
1593687108 0.7 1284T
1593687111 0.7 1285T
1593687115 0.7 4T
1593687120 0.7 538T
1593687124 0.7 1216T
1593687129 0.7 548T
1593687132 0.7 1322T
1593687135 0.7 889T
1593687137 0.7 899T
1593687142 0.7 888T
1593687146 0.7 791T
1593687151 0.7 282T
1593687153 0.7 1328T
1593687156 0.7 785T
1593687159 0.7 787T
1593687166 0.7 645T
1593687169 0.7 1215T
1593687173 0.7 1207T
1593687176 0.7 401T
1593687180 0.7 538T
1593687182 0.7 1328T
1593687185 0.7 827T
1593687186 0.7 1332T
1593687194 0.7 1328T
1593687198 0.7 1325T
1593687203 0.7 1198T
1593687212 0.7 724T
1593687221 0.7 1098T
1593687223 0.7 1097T
1593687227 0.7 826T
1593687233 0.7 1264T
1593687239 0.7 121T
1593687246 0.7 731T
1593687249 0.7 1140T
1593687252 0.7 1230T
1593687259 0.7 150T
1593687266 0.7 656T
1593687270 0.7 538T
1593687275 0.7 371T
1593687279 0.7 369T
1593687281 0.7 748T
1593687282 0.7 1149T
1593687286 0.7 344T
1593687288 0.7 784T
1593687291 0.7 709T
1593687293 0.7 707T
1593687303 0.7 713T
1593687306 0.7 1033T
1593687308 0.7 999T
1593687310 0.7 369T
1593687314 0.7 1329T
1593687317 0.7 913T
1593687322 0.7 334T
1593687325 0.7 765T
1593687329 0.7 1174T
1593687331 0.7 1294T
1593687334 0.7 1174T
1593687336 0.7 1294T
1593687339 0.7 1151T
1593687343 0.7 796T
1593687345 0.7 558T
1593687347 0.7 557T
1593687349 0.7 558T
1593687355 0.7 1248T
1593687359 0.7 332T
1593687361 0.7 888T
1593687364 0.7 250T
1593687367 0.7 913T
1593687371 0.7 1058T
1593687375 0.7 1053T
1593687376 0.7 1052T
1593687379 0.7 1222T
1593687383 0.7 1173T
1593687385 0.7 1187T
1593687390 0.7 1181T
1593687393 0.7 683T
1593687400 0.7 259T
1593687402 0.7 1037T
1593687409 0.7 1049T
1593687413 0.7 1050T
1593687418 0.7 1036T
1593687424 0.7 1037T
1593687429 0.7 1328T
1593687434 0.7 1325T
1593687439 0.7 1328T
1593687446 0.7 1009T
1593687453 0.7 282T
1593687458 0.7 657T
1593687460 0.7 699T
1593687463 0.7 657T
1593687465 0.7 699T
1593687469 0.7 657T
1593687473 0.7 733T
1593687476 0.7 538T
1593687483 0.7 108T
1593687488 0.7 538T
