time noise chunk
1592435196 0.7 48t
1592435204 0.7 757T
1592435210 0.7 695T
1592435217 0.7 943T
1592435218 0.7 1095T
1592435221 0.7 1193T
1592435224 0.7 699T
1592435227 0.7 1299T
1592435231 0.7 1078T
1592435234 0.7 643T
1592435239 0.7 1324T
1592435243 0.7 104T
1592435246 0.7 317T
1592435249 0.7 81T
1592435252 0.7 791T
1592435256 0.7 783T
1592435259 0.7 1161T
1592435262 0.7 29T
1592435266 0.7 1234T
1592435269 0.7 1065T
1592435275 0.7 803T
1592435280 0.7 1088T
1592435284 0.7 307T
1592435290 0.7 1271T
1592435295 0.7 344T
1592435301 0.7 868T
1592435305 0.7 1264T
1592435307 0.7 1205T
1592435310 0.7 934T
1592435313 0.7 1260T
1592435317 0.7 913T
1592435320 0.7 1169T
1592435326 0.7 1317T
1592435328 0.7 291T
1592435334 0.7 1013T
1592435341 0.7 814T
1592435346 0.7 1143T
1592435349 0.7 1128T
1592435354 0.7 717T
1592435356 0.7 1100T
1592435361 0.7 584T
1592435364 0.7 757T
1592435370 0.7 17T
1592435372 0.7 114T
1592435377 0.7 1258T
1592435382 0.7 76T
1592435387 0.7 366T
1592435392 0.7 1264T
1592435394 0.7 1223T
1592435397 0.7 304T
1592435403 0.7 840T
1592435406 0.7 582T
1592435413 0.7 896T
1592435419 0.7 1071T
1592435422 0.7 629T
1592435426 0.7 1092T
1592435432 0.7 544T
1592435436 0.7 1294T
1592435441 0.7 1141T
1592435445 0.7 1223T
1592435448 0.7 894T
1592435454 0.7 980T
1592435458 0.7 1033T
1592435461 0.7 334T
1592435466 0.7 585T
1592435469 0.7 596T
1592435474 0.7 21T
1592435477 0.7 387T
1592435482 0.7 19T
1592435488 0.7 1119T
1592435492 0.7 911T
1592435496 0.7 573T
1592435501 0.7 553T
1592435505 0.7 54T
1592435508 0.7 1106T
1592435511 0.7 621T
1592435513 0.7 160T
1592435519 0.7 78T
1592435522 0.7 47T
1592435526 0.7 898T
1592435530 0.7 754T
1592435534 0.7 1218T
1592435536 0.7 1193T
1592435538 0.7 773T
1592435541 0.7 980T
1592435544 0.7 158T
1592435548 0.7 1146T
1592435552 0.7 607T
1592435555 0.7 300T
1592435560 0.7 107T
1592435563 0.7 1033T
1592435567 0.7 367T
1592435572 0.7 606T
1592435574 0.7 1138T
1592435578 0.7 1243T
1592435584 0.7 40T
1592435587 0.7 1299T
1592435591 0.7 246T
1592435597 0.7 785T
1592435601 0.7 7T
1592435603 0.7 1223T
1592435607 0.7 546T
1592435610 0.7 150T
1592435613 0.7 1040T
1592435618 0.7 1209T
1592435622 0.7 554T
1592435625 0.7 340T
1592435628 0.7 1263T
1592435632 0.7 25T
1592435635 0.7 683T
1592435637 0.7 1222T
1592435640 0.7 559T
1592435643 0.7 571T
1592435652 0.7 566T
1592435655 0.7 547T
1592435660 0.7 121T
1592435665 0.7 660T
1592435678 0.7 1166T
1592435681 0.7 1276T
1592435684 0.7 312T
1592435687 0.7 520T
1592435692 0.7 1294T
1592435696 0.7 714T
1592435700 0.7 1088T
1592435703 0.7 326T
1592435707 0.7 1311T
1592435710 0.7 5T
1592435712 0.7 1194T
1592435716 0.7 280T
1592435721 0.7 634T
1592435727 0.7 1033T
1592435730 0.7 823T
1592435735 0.7 52T
1592435738 0.7 1321T
1592435745 0.7 913T
1592435749 0.7 574T
1592435753 0.7 672T
1592435759 0.7 241T
1592435761 0.7 623T
1592435765 0.7 315T
1592435772 0.7 1264T
1592435777 0.7 891T
1592435781 0.7 1115T
1592435785 0.7 656T
1592435790 0.7 71T
1592435794 0.7 1212T
1592435797 0.7 282T
1592435801 0.7 876T
1592435806 0.7 626T
1592435811 0.7 364T
1592435821 0.7 629T
1592435826 0.7 806T
1592435829 0.7 809T
1592435831 0.7 287T
1592435835 0.7 546T
1592435837 0.7 646T
1592435841 0.7 716T
1592435842 0.7 179T
1592435845 0.7 1183T
1592435848 0.7 1112T
1592435853 0.7 682T
1592435857 0.7 1325T
1592435861 0.7 632T
1592435864 0.7 834T
1592435867 0.7 236T
1592435870 0.7 546T
1592435873 0.7 34T
1592435876 0.7 1163T
1592435878 0.7 1293T
1592435881 0.7 1235T
1592435884 0.7 1329T
1592435886 0.7 854T
1592435891 0.7 603T
1592435896 0.7 692T
1592435900 0.7 630T
1592435908 0.7 1201T
1592435911 0.7 659T
1592435915 0.7 893T
1592435917 0.7 295T
1592435922 0.7 1262T
1592435926 0.7 1272T
1592435930 0.7 575T
1592435933 0.7 345T
1592435936 0.7 1195T
1592435940 0.7 3T
1592435943 0.7 709T
1592435945 0.7 102T
1592435949 0.7 986T
1592435952 0.7 1245T
1592435956 0.7 1082T
1592435960 0.7 1003T
1592435965 0.7 545T
1592435967 0.7 832T
1592435972 0.7 1246T
1592435976 0.7 1255T
1592435981 0.7 88T
1592435984 0.7 95T
1592435987 0.7 566T
1592435989 0.7 178T
1592435992 0.7 276T
1592435995 0.7 670T
1592435998 0.7 815T
1592436003 0.7 636T
1592436007 0.7 96T
1592436010 0.7 1218T
1592436014 0.7 315T
1592436018 0.7 659T
1592436021 0.7 23T
1592436026 0.7 768T
1592436029 0.7 1201T
1592436032 0.7 1300T
1592436036 0.7 590T
1592436041 0.7 326T
1592436045 0.7 89T
1592436048 0.7 807T
1592436050 0.7 670T
1592436055 0.7 771T
1592436061 0.7 68T
1592436065 0.7 1234T
1592436070 0.7 765T
1592436074 0.7 1338T
1592436079 0.7 1289T
1592436083 0.7 1004T
1592436087 0.7 332T
1592436093 0.7 608T
1592436096 0.7 1322T
1592436100 0.7 1184T
1592436105 0.7 731T
1592436109 0.7 849T
1592436113 0.7 1014T
1592436119 0.7 694T
1592436122 0.7 40T
1592436124 0.7 363T
1592436126 0.7 345T
1592436130 0.7 349T
1592436132 0.7 14T
1592436136 0.7 1198T
1592436139 0.7 1181T
1592436144 0.7 316T
1592436148 0.7 1164T
1592436150 0.7 1185T
1592436154 0.7 757T
1592436156 0.7 518T
1592436157 0.7 1156T
1592436159 0.7 113T
1592436160 0.7 771T
1592436164 0.7 120T
1592436166 0.7 713T
1592436168 0.7 625T
1592436171 0.7 594T
1592436173 0.7 814T
1592436175 0.7 800T
1592436177 0.7 693T
1592436179 0.7 92T
1592436182 0.7 796T
1592436184 0.7 101T
1592436185 0.7 848T
1592436187 0.7 771T
1592436190 0.7 792T
1592436191 0.7 864T
1592436193 0.7 1135T
1592436195 0.7 863T
1592436196 0.7 986T
1592436197 0.7 1107T
1592436200 0.7 823T
1592436202 0.7 999T
1592436206 0.7 292T
1592436207 0.7 600T
1592436210 0.7 810T
1592436212 0.7 354T
1592436214 0.7 315T
1592436215 0.7 1194T
1592436220 0.7 1006T
1592436222 0.7 253T
1592436224 0.7 247T
1592436225 0.7 1264T
1592436227 0.7 1258T
1592436230 0.7 629T
1592436234 0.7 769T
1592436237 0.7 1247T
1592436241 0.7 1T
1592436243 0.7 160T
1592436245 0.7 645T
1592436249 0.7 874T
1592436251 0.7 750T
1592436255 0.7 349T
1592436257 0.7 544T
1592436260 0.7 1234T
1592436264 0.7 445T
1592436265 0.7 1293T
1592436266 0.7 908T
1592436269 0.7 562T
1592436271 0.7 1246T
1592436272 0.7 1163T
1592436273 0.7 292T
1592436274 0.7 999T
1592436275 0.7 100T
1592436278 0.7 8T
1592436278 0.7 799T
1592436280 0.7 833T
1592436281 0.7 1018T
1592436283 0.7 601T
1592436285 0.7 992T
1592436288 0.7 896T
1592436290 0.7 1086T
1592436293 0.7 771T
1592436296 0.7 1089T
1592436297 0.7 50T
1592436299 0.7 1173T
1592436301 0.7 773T
1592436303 0.7 131T
1592436304 0.7 1186T
1592436306 0.7 179T
1592436307 0.7 110T
1592436308 0.7 163T
1592436311 0.7 287T
1592436313 0.7 1322T
1592436315 0.7 768T
1592436316 0.7 181T
1592436318 0.7 1260T
1592436322 0.7 809T
1592436323 0.7 812T
1592436326 0.7 1050T
1592436330 0.7 959T
1592436333 0.7 1012T
1592436335 0.7 619T
1592436337 0.7 596T
1592436340 0.7 246T
1592436341 0.7 905T
1592436343 0.7 980T
1592436351 0.7 246T
1592436353 0.7 878T
1592436354 0.7 994T
1592436357 0.7 954T
1592436358 0.7 1172T
1592436364 0.7 1272T
1592436366 0.7 1243T
1592436367 0.7 733T
1592436373 0.7 926T
1592436376 0.7 184T
1592436378 0.7 1340T
1592436382 0.7 1256T
1592436385 0.7 834T
1592436387 0.7 666T
1592436389 0.7 741T
1592436392 0.7 1186T
1592436394 0.7 764T
1592436396 0.7 650T
1592436398 0.7 1053T
1592436400 0.7 1225T
1592436402 0.7 37T
1592436404 0.7 1078T
1592436406 0.7 88T
1592436407 0.7 771T
1592436408 0.7 837T
1592436410 0.7 1092T
1592436411 0.7 161T
1592436413 0.7 842T
1592436415 0.7 706T
1592436417 0.7 1143T
1592436418 0.7 606T
1592436423 0.7 1248T
1592436424 0.7 69T
1592436426 0.7 842T
1592436427 0.7 169T
1592436429 0.7 841T
1592436431 0.7 995T
1592436433 0.7 855T
1592436435 0.7 761T
1592436438 0.7 304T
1592436440 0.7 1264T
1592436442 0.7 1106T
1592436444 0.7 626T
1592436446 0.7 167T
1592436448 0.7 677T
1592436453 0.7 1263T
1592436456 0.7 245T
1592436458 0.7 551T
1592436460 0.7 249T
1592436462 0.7 1145T
1592436465 0.7 314T
1592436466 0.7 681T
1592436468 0.7 1066T
1592436470 0.7 942T
1592436473 0.7 765T
1592436477 0.7 180T
1592436478 0.7 999T
1592436479 0.7 1107T
1592436482 0.7 340T
1592436485 0.7 820T
1592436486 0.7 179T
1592436488 0.7 767T
1592436489 0.7 273T
1592436491 0.7 775T
1592436492 0.7 308T
1592436494 0.7 1009T
1592436495 0.7 695T
1592436497 0.7 1092T
1592436499 0.7 979T
1592436500 0.7 341T
1592436503 0.7 979T
1592436505 0.7 780T
1592436507 0.7 1218T
1592436509 0.7 300T
1592436511 0.7 55T
1592436512 0.7 616T
1592436514 0.7 593T
1592436516 0.7 158T
1592436518 0.7 879T
1592436520 0.7 407T
1592436521 0.7 1311T
1592436524 0.7 756T
1592436526 0.7 97T
1592436527 0.7 1260T
1592436529 0.7 122T
1592436531 0.7 111T
1592436534 0.7 1147T
1592436535 0.7 619T
1592436538 0.7 123T
1592436540 0.7 524T
1592436541 0.7 490T
1592436543 0.7 1141T
1592436544 0.7 652T
1592436545 0.7 938T
1592436547 0.7 1223T
1592436548 0.7 611T
1592436551 0.7 1171T
1592436553 0.7 1279T
1592436555 0.7 308T
1592436557 0.7 1083T
1592436559 0.7 1119T
1592436562 0.7 1138T
1592436564 0.7 1242T
1592436565 0.7 1096T
1592436567 0.7 1097T
1592436568 0.7 286T
1592436569 0.7 57T
1592436570 0.7 152T
1592436573 0.7 502T
1592436575 0.7 1200T
1592436577 0.7 1248T
1592436579 0.7 909T
1592436582 0.7 1089T
1592436584 0.7 761T
1592436587 0.7 806T
1592436588 0.7 618T
1592436593 0.7 913T
1592436595 0.7 777T
1592436597 0.7 949T
1592436600 0.7 335T
1592436602 0.7 1050T
1592436604 0.7 896T
1592436606 0.7 122T
1592436609 0.7 186T
1592436611 0.7 771T
1592436613 0.7 1223T
1592436615 0.7 152T
1592436616 0.7 1165T
1592436619 0.7 724T
1592436621 0.7 1325T
1592436623 0.7 241T
1592436626 0.7 1120T
1592436629 0.7 670T
1592436632 0.7 308T
1592436636 0.7 1147T
1592436636 0.7 1330T
1592436638 0.7 575T
1592436639 0.7 36T
1592436640 0.7 1216T
1592436643 0.7 315T
1592436649 0.7 56T
1592436652 0.7 562T
1592436654 0.7 817T
1592436657 0.7 367T
1592436659 0.7 784T
1592436663 0.7 40T
1592436666 0.7 759T
1592436668 0.7 1157T
1592436670 0.7 1198T
1592436671 0.7 773T
1592436675 0.7 288T
1592436677 0.7 995T
1592436679 0.7 1204T
1592436681 0.7 1202T
1592436682 0.7 188T
1592436683 0.7 1307T
1592436685 0.7 15T
1592436686 0.7 970T
1592436687 0.7 240T
1592436690 0.7 376T
1592436692 0.7 159T
1592436694 0.7 1243T
1592436695 0.7 299T
1592436698 0.7 90T
1592436700 0.7 334T
1592436702 0.7 784T
1592436703 0.7 1142T
1592436705 0.7 1104T
1592436708 0.7 337T
1592436710 0.7 245T
1592436712 0.7 239T
1592436714 0.7 1278T
1592436717 0.7 1116T
1592436719 0.7 241T
1592436720 0.7 550T
1592436723 0.7 1195T
1592436726 0.7 744T
1592436729 0.7 1294T
1592436731 0.7 656T
1592436734 0.7 892T
1592436735 0.7 280T
1592436739 0.7 998T
1592436742 0.7 16T
1592436743 0.7 1323T
1592436745 0.7 1087T
1592436746 0.7 1295T
1592436748 0.7 1070T
1592436751 0.7 639T
1592436754 0.7 1088T
1592436756 0.7 956T
1592436758 0.7 164T
1592436760 0.7 696T
1592436762 0.7 1050T
1592436764 0.7 1215T
1592436768 0.7 1142T
1592436769 0.7 1325T
1592436771 0.7 963T
1592436773 0.7 817T
1592436775 0.7 819T
1592436777 0.7 1109T
1592436779 0.7 1331T
1592436780 0.7 1088T
1592436783 0.7 122T
1592436784 0.7 237T
1592436785 0.7 169T
1592436787 0.7 793T
1592436789 0.7 641T
1592436790 0.7 261T
1592436791 0.7 1275T
1592436793 0.7 360T
1592436797 0.7 347T
1592436798 0.7 23T
1592436799 0.7 997T
1592436801 0.7 558T
1592436802 0.7 1340T
1592436806 0.7 1197T
1592436807 0.7 566T
1592436810 0.7 450T
1592436812 0.7 1105T
1592436814 0.7 898T
1592436816 0.7 584T
1592436817 0.7 1193T
1592436820 0.7 687T
1592436821 0.7 1090T
1592436823 0.7 278T
1592436824 0.7 615T
1592436826 0.7 116T
1592436833 0.7 1136T
1592436835 0.7 700T
1592436838 0.7 113T
1592436840 0.7 774T
1592436842 0.7 1088T
1592436845 0.7 295T
1592436847 0.7 1259T
1592436849 0.7 1333T
1592436851 0.7 154T
1592436854 0.7 625T
1592436858 0.7 654T
1592436860 0.7 291T
1592436862 0.7 571T
1592436864 0.7 983T
1592436865 0.7 600T
1592436867 0.7 691T
1592436869 0.7 1065T
1592436871 0.7 771T
1592436874 0.7 1326T
1592436877 0.7 181T
1592436878 0.7 1264T
1592436880 0.7 1331T
1592436883 0.7 312T
1592436884 0.7 799T
1592436885 0.7 1136T
1592436888 0.7 1045T
1592436891 0.7 605T
1592436894 0.7 1232T
1592436896 0.7 104T
1592436904 0.7 1181T
1592436906 0.7 1008T
1592436910 0.7 1257T
1592436914 0.7 94T
1592436917 0.7 799T
1592436920 0.7 743T
1592436924 0.7 823T
1592436926 0.7 343T
1592436927 0.7 666T
1592436930 0.7 598T
1592436935 0.7 169T
1592436937 0.7 1319T
1592436940 0.7 965T
1592436941 0.7 676T
1592436943 0.7 707T
1592436945 0.7 1299T
1592436948 0.7 772T
1592436950 0.7 1248T
1592436952 0.7 1238T
1592436955 0.7 905T
1592436958 0.7 1230T
1592436961 0.7 758T
1592436964 0.7 1058T
1592436966 0.7 834T
1592436970 0.7 186T
1592436971 0.7 616T
1592436973 0.7 303T
1592436975 0.7 895T
1592436979 0.7 17T
1592436981 0.7 10T
1592436984 0.7 296T
1592436987 0.7 731T
1592436989 0.7 1269T
1592436991 0.7 738T
1592436992 0.7 237T
1592436995 0.7 279T
1592436997 0.7 561T
1592436999 0.7 303T
1592437002 0.7 591T
1592437005 0.7 1087T
1592437006 0.7 1044T
1592437008 0.7 1197T
1592437010 0.7 636T
1592437012 0.7 1301T
1592437015 0.7 278T
1592437018 0.7 967T
1592437021 0.7 1036T
1592437025 0.7 1107T
1592437029 0.7 1336T
1592437031 0.7 1195T
1592437033 0.7 786T
1592437036 0.7 246T
1592437039 0.7 1099T
1592437041 0.7 116T
1592437043 0.7 409T
1592437044 0.7 1075T
1592437045 0.7 545T
1592437047 0.7 635T
1592437050 0.7 100T
1592437052 0.7 995T
1592437057 0.7 677T
1592437059 0.7 252T
1592437061 0.7 1204T
1592437064 0.7 572T
1592437067 0.7 551T
1592437069 0.7 831T
1592437074 0.7 1259T
1592437078 0.7 91T
1592437081 0.7 335T
1592437082 0.7 1322T
1592437084 0.7 584T
1592437086 0.7 1016T
1592437091 0.7 869T
1592437093 0.7 116T
1592437095 0.7 307T
1592437096 0.7 793T
1592437098 0.7 346T
1592437101 0.7 1234T
1592437105 0.7 290T
1592437106 0.7 1307T
