time noise chunk
1593002665 0.7 538t
1593002696 0.7 906T
1593002697 0.7 538T
1593002697 0.7 367T
1593002698 0.7 538T
1593002698 0.7 1115T
1593002699 0.7 943T
1593002700 0.7 3T
1593002701 0.7 56T
1593002703 0.7 1143T
1593002704 0.7 1207T
1593002705 0.7 1205T
1593002706 0.7 1319T
1593002707 0.7 1325T
1593002707 0.7 1330T
1593002709 0.7 1032T
1593002709 0.7 954T
1593002711 0.7 1277T
1593002711 0.7 324T
1593002712 0.7 740T
1593002713 0.7 91T
1593002713 0.7 760T
1593002714 0.7 740T
1593002716 0.7 538T
1593002716 0.7 1324T
1593002717 0.7 1115T
1593002718 0.7 1004T
1593002721 0.7 1168T
1593002721 0.7 1167T
1593002722 0.7 1169T
1593002723 0.7 1185T
1593002724 0.7 1270T
1593002725 0.7 150T
1593002726 0.7 1127T
1593002727 0.7 666T
1593002728 0.7 186T
1593002729 0.7 894T
1593002730 0.7 625T
1593002732 0.7 621T
1593002733 0.7 251T
1593002734 0.7 723T
1593002734 0.7 631T
1593002735 0.7 720T
1593002736 0.7 894T
1593002736 0.7 658T
1593002737 0.7 251T
1593002738 0.7 813T
1593002740 0.7 1184T
1593002741 0.7 1178T
1593002742 0.7 1240T
1593002742 0.7 703T
1593002743 0.7 1125T
1593002744 0.7 1126T
1593002745 0.7 1207T
1593002746 0.7 1215T
1593002749 0.7 1181T
1593002750 0.7 1262T
1593002751 0.7 1205T
1593002752 0.7 1206T
1593002753 0.7 1171T
1593002754 0.7 1148T
1593002754 0.7 1266T
1593002755 0.7 1314T
1593002756 0.7 1317T
1593002757 0.7 1316T
1593002758 0.7 1317T
1593002758 0.7 1118T
1593002759 0.7 1120T
1593002760 0.7 1121T
1593002761 0.7 538T
1593002762 0.7 994T
1593002763 0.7 538T
1593002763 0.7 994T
1593002764 0.7 997T
1593002766 0.7 611T
1593002770 0.7 609T
1593002771 0.7 538T
1593002772 0.7 1299T
1593002773 0.7 1T
1593002774 0.7 1080T
1593002775 0.7 1007T
1593002776 0.7 830T
1593002777 0.7 538T
1593002778 0.7 287T
1593002779 0.7 152T
1593002780 0.7 1115T
1593002780 0.7 1116T
1593002781 0.7 848T
1593002782 0.7 1151T
1593002783 0.7 165T
1593002783 0.7 166T
1593002784 0.7 165T
1593002785 0.7 166T
1593002785 0.7 165T
1593002786 0.7 166T
1593002787 0.7 236T
1593002788 0.7 123T
1593002788 0.7 150T
1593002789 0.7 123T
1593002790 0.7 236T
1593002791 0.7 241T
1593002791 0.7 236T
1593002792 0.7 123T
1593002794 0.7 88T
1593002795 0.7 618T
1593002798 0.7 788T
1593002799 0.7 1208T
1593002800 0.7 1206T
1593002801 0.7 1123T
1593002802 0.7 1124T
1593002802 0.7 869T
1593002803 0.7 158T
1593002804 0.7 157T
1593002804 0.7 52T
1593002805 0.7 55T
1593002806 0.7 52T
1593002806 0.7 1207T
1593002808 0.7 556T
1593002808 0.7 736T
1593002809 0.7 86T
1593002810 0.7 524T
1593002811 0.7 526T
1593002811 0.7 524T
1593002812 0.7 526T
1593002813 0.7 1186T
1593002814 0.7 1171T
1593002815 0.7 1148T
1593002815 0.7 337T
1593002821 0.7 305T
1593002822 0.7 538T
1593002822 0.7 367T
1593002823 0.7 1115T
1593002825 0.7 152T
1593002826 0.7 157T
1593002827 0.7 159T
1593002828 0.7 152T
1593002829 0.7 158T
1593002830 0.7 1149T
1593002831 0.7 1120T
1593002831 0.7 1140T
1593002832 0.7 1136T
1593002833 0.7 1137T
1593002834 0.7 1294T
1593002834 0.7 1033T
1593002835 0.7 538T
1593002836 0.7 366T
1593002837 0.7 2T
1593002838 0.7 538T
1593002839 0.7 996T
1593002839 0.7 994T
1593002840 0.7 1207T
1593002841 0.7 1095T
1593002842 0.7 1215T
1593002843 0.7 1207T
1593002844 0.7 1173T
1593002845 0.7 1212T
1593002846 0.7 538T
1593002846 0.7 1117T
1593002847 0.7 1120T
1593002848 0.7 1087T
1593002848 0.7 1120T
1593002849 0.7 175T
1593002850 0.7 701T
1593002851 0.7 52T
1593002851 0.7 55T
1593002852 0.7 993T
1593002853 0.7 294T
1593002854 0.7 298T
1593002855 0.7 547T
1593002855 0.7 180T
1593002856 0.7 69T
1593002858 0.7 686T
1593002861 0.7 633T
1593002862 0.7 615T
1593002862 0.7 617T
1593002865 0.7 616T
1593002867 0.7 152T
1593002867 0.7 150T
1593002868 0.7 123T
1593002869 0.7 150T
1593002869 0.7 562T
1593002871 0.7 798T
1593002873 0.7 808T
1593002873 0.7 1032T
1593002874 0.7 674T
1593002875 0.7 254T
1593002876 0.7 575T
1593002876 0.7 76T
1593002877 0.7 78T
1593002878 0.7 19T
1593002879 0.7 20T
1593002880 0.7 523T
1593002880 0.7 20T
1593002881 0.7 1195T
1593002886 0.7 1197T
1593002887 0.7 1215T
1593002888 0.7 538T
1593002889 0.7 723T
1593002889 0.7 674T
1593002891 0.7 1136T
1593002892 0.7 637T
1593002894 0.7 32T
1593002895 0.7 995T
1593002897 0.7 1315T
1593002897 0.7 1117T
1593002899 0.7 1115T
1593002899 0.7 1323T
1593002901 0.7 1115T
1593002901 0.7 1004T
1593002902 0.7 1093T
1593002903 0.7 1092T
1593002903 0.7 1093T
1593002905 0.7 1092T
1593002905 0.7 1093T
1593002906 0.7 1092T
1593002908 0.7 1093T
1593002908 0.7 1092T
1593002909 0.7 1093T
1593002910 0.7 1052T
1593002914 0.7 1141T
1593002915 0.7 1134T
1593002917 0.7 238T
1593002918 0.7 1033T
1593002919 0.7 636T
1593002920 0.7 1272T
1593002921 0.7 1137T
1593002922 0.7 1136T
1593002923 0.7 1200T
1593002924 0.7 153T
1593002925 0.7 236T
1593002925 0.7 150T
1593002926 0.7 73T
1593002927 0.7 340T
1593002928 0.7 657T
1593002928 0.7 733T
1593002929 0.7 1291T
1593002930 0.7 1292T
1593002931 0.7 1291T
1593002931 0.7 1292T
1593002932 0.7 1291T
1593002933 0.7 994T
1593002934 0.7 1207T
1593002936 0.7 1215T
1593002938 0.7 1213T
1593002939 0.7 1000T
1593002941 0.7 998T
1593002942 0.7 538T
1593002943 0.7 1323T
1593002943 0.7 1115T
1593002944 0.7 1181T
1593002945 0.7 1171T
1593002946 0.7 1181T
1593002947 0.7 1200T
1593002949 0.7 584T
1593002953 0.7 558T
1593002958 0.7 1281T
1593002959 0.7 111T
1593002961 0.7 1272T
1593002961 0.7 57T
1593002962 0.7 90T
1593002963 0.7 1277T
1593002964 0.7 92T
1593002964 0.7 68T
1593002965 0.7 71T
1593002966 0.7 68T
1593002966 0.7 71T
1593002967 0.7 705T
1593002969 0.7 14T
1593002970 0.7 979T
1593002971 0.7 932T
1593002971 0.7 979T
1593002972 0.7 607T
1593002973 0.7 52T
1593002973 0.7 1128T
1593002974 0.7 1277T
1593002975 0.7 1139T
1593002976 0.7 779T
1593002976 0.7 648T
1593002977 0.7 1059T
1593002978 0.7 538T
1593002979 0.7 321T
1593002979 0.7 115T
1593002981 0.7 150T
1593002982 0.7 123T
1593002983 0.7 236T
1593002985 0.7 241T
1593002986 0.7 236T
1593002986 0.7 123T
1593002988 0.7 169T
1593002989 0.7 168T
1593002990 0.7 558T
1593002991 0.7 19T
1593002992 0.7 558T
1593002993 0.7 1281T
1593002994 0.7 1156T
1593002995 0.7 1097T
1593002997 0.7 1102T
1593002999 0.7 1098T
1593003000 0.7 538T
1593003001 0.7 840T
1593003001 0.7 1115T
1593003002 0.7 943T
1593003002 0.7 942T
1593003003 0.7 943T
1593003005 0.7 1134T
1593003005 0.7 799T
1593003006 0.7 1209T
1593003007 0.7 276T
1593003010 0.7 283T
1593003012 0.7 656T
1593003013 0.7 731T
1593003013 0.7 980T
1593003015 0.7 1197T
1593003016 0.7 750T
1593003016 0.7 88T
1593003017 0.7 808T
1593003019 0.7 802T
1593003019 0.7 808T
1593003020 0.7 925T
1593003021 0.7 929T
1593003022 0.7 286T
1593003024 0.7 801T
1593003026 0.7 538T
1593003027 0.7 1179T
1593003027 0.7 1229T
1593003028 0.7 1180T
1593003029 0.7 1156T
1593003031 0.7 1149T
1593003032 0.7 788T
1593003034 0.7 770T
1593003035 0.7 291T
1593003037 0.7 282T
1593003037 0.7 83T
1593003038 0.7 1122T
1593003039 0.7 1120T
1593003040 0.7 312T
1593003040 0.7 314T
1593003041 0.7 152T
1593003042 0.7 159T
1593003043 0.7 158T
1593003043 0.7 160T
1593003044 0.7 151T
1593003045 0.7 167T
1593003046 0.7 123T
1593003046 0.7 247T
1593003047 0.7 236T
1593003048 0.7 241T
1593003049 0.7 123T
1593003051 0.7 246T
1593003051 0.7 913T
1593003052 0.7 307T
1593003053 0.7 308T
1593003054 0.7 150T
1593003054 0.7 123T
1593003055 0.7 152T
1593003056 0.7 158T
1593003057 0.7 1140T
1593003057 0.7 1178T
1593003058 0.7 324T
1593003059 0.7 573T
1593003060 0.7 1247T
1593003061 0.7 1212T
1593003061 0.7 1227T
1593003062 0.7 1137T
1593003062 0.7 1174T
1593003064 0.7 765T
1593003064 0.7 632T
1593003065 0.7 834T
1593003066 0.7 832T
1593003067 0.7 831T
1593003067 0.7 538T
1593003068 0.7 1216T
1593003069 0.7 528T
1593003070 0.7 371T
1593003071 0.7 131T
1593003072 0.7 129T
1593003073 0.7 131T
1593003073 0.7 815T
1593003074 0.7 819T
1593003077 0.7 834T
1593003078 0.7 835T
1593003079 0.7 804T
1593003080 0.7 810T
1593003080 0.7 1207T
1593003081 0.7 1206T
1593003082 0.7 1136T
1593003082 0.7 1228T
1593003083 0.7 1133T
1593003085 0.7 1172T
1593003086 0.7 1271T
1593003087 0.7 1319T
1593003088 0.7 1321T
1593003088 0.7 1319T
1593003089 0.7 1332T
1593003091 0.7 826T
1593003092 0.7 174T
1593003093 0.7 108T
1593003095 0.7 175T
1593003098 0.7 179T
1593003098 0.7 604T
1593003104 0.7 950T
1593003107 0.7 878T
1593003108 0.7 809T
1593003116 0.7 878T
1593003125 0.7 710T
1593003129 0.7 704T
1593003131 0.7 1212T
1593003131 0.7 1173T
1593003132 0.7 538T
1593003132 0.7 367T
1593003133 0.7 779T
1593003134 0.7 778T
1593003134 0.7 563T
1593003136 0.7 1032T
1593003138 0.7 891T
1593003138 0.7 766T
1593003140 0.7 745T
1593003141 0.7 279T
1593003142 0.7 69T
1593003144 0.7 538T
1593003144 0.7 996T
1593003145 0.7 538T
1593003145 0.7 542T
1593003147 0.7 538T
1593003148 0.7 1115T
1593003149 0.7 943T
1593003151 0.7 645T
1593003157 0.7 1170T
1593003157 0.7 1274T
1593003158 0.7 771T
1593003162 0.7 1145T
1593003166 0.7 659T
1593003168 0.7 236T
1593003170 0.7 786T
