time noise chunk
1599200946 0.7 538t
1599201043 0.7 52T
1599201043 0.7 52T
1599201061 0.7 1036T
1599201082 0.7 101T
1599201084 0.7 1091T
1599201086 0.7 538T
1599201091 0.7 678T
1599201093 0.7 700T
1599201098 0.7 1171T
1599201101 0.7 360T
1599201104 0.7 583T
1599201109 0.7 720T
1599201112 0.7 48T
1599201114 0.7 682T
1599201117 0.7 1328T
1599201119 0.7 1002T
1599201121 0.7 538T
1599201123 0.7 875T
1599201125 0.7 91T
1599201126 0.7 153T
1599201129 0.7 1218T
1599201131 0.7 1275T
1599201132 0.7 631T
1599201134 0.7 663T
1599201136 0.7 525T
1599201139 0.7 37T
1599201146 0.7 1089T
1599201149 0.7 656T
1599201153 0.7 1275T
1599201157 0.7 1130T
1599201158 0.7 519T
1599201160 0.7 615T
1599201162 0.7 686T
1599201167 0.7 265T
1599201174 0.7 775T
1599201176 0.7 1053T
1599201179 0.7 1240T
1599201185 0.7 929T
1599201192 0.7 1163T
1599201193 0.7 52T
1599201194 0.7 285T
1599201198 0.7 6T
1599201204 0.7 814T
1599201207 0.7 1319T
1599201211 0.7 1172T
1599201214 0.7 1052T
1599201217 0.7 538T
1599201219 0.7 108T
1599201220 0.7 369T
1599201222 0.7 236T
1599201226 0.7 311T
1599201229 0.7 1146T
1599201234 0.7 1246T
1599201237 0.7 705T
1599201240 0.7 257T
1599201242 0.7 371T
1599201248 0.7 1149T
1599201249 0.7 52T
1599201251 0.7 283T
1599201253 0.7 1212T
1599201258 0.7 1136T
1599201260 0.7 1064T
1599201261 0.7 1057T
1599201264 0.7 1244T
1599201269 0.7 775T
1599201272 0.7 909T
1599201276 0.7 843T
1599201277 0.7 1234T
1599201280 0.7 659T
1599201284 0.7 582T
1599201287 0.7 538T
1599201291 0.7 109T
1599201294 0.7 584T
1599201295 0.7 1082T
1599201297 0.7 247T
1599201299 0.7 236T
1599201302 0.7 704T
1599201306 0.7 781T
1599201307 0.7 584T
1599201308 0.7 661T
1599201310 0.7 19T
1599201312 0.7 538T
1599201316 0.7 282T
1599201319 0.7 1272T
1599201320 0.7 1079T
1599201324 0.7 538T
1599201327 0.7 953T
1599201333 0.7 704T
1599201337 0.7 538T
1599201340 0.7 1056T
1599201344 0.7 15T
1599201346 0.7 949T
1599201347 0.7 83T
1599201350 0.7 1056T
1599201354 0.7 92T
1599201356 0.7 169T
1599201358 0.7 731T
1599201362 0.7 538T
1599201364 0.7 341T
1599201367 0.7 1297T
1599201369 0.7 862T
1599201372 0.7 103T
1599201373 0.7 1191T
1599201376 0.7 538T
1599201378 0.7 764T
1599201380 0.7 1115T
1599201384 0.7 158T
1599201386 0.7 852T
1599201394 0.7 525T
1599201397 0.7 1011T
1599201404 0.7 52T
1599201408 0.7 1174T
1599201411 0.7 1160T
1599201416 0.7 1146T
1599201419 0.7 892T
1599201422 0.7 948T
1599201424 0.7 538T
1599201428 0.7 31T
1599201431 0.7 1233T
1599201433 0.7 282T
1599201436 0.7 1156T
1599201438 0.7 1192T
1599201441 0.7 123T
1599201445 0.7 751T
1599201448 0.7 1076T
1599201450 0.7 19T
1599201452 0.7 538T
1599201457 0.7 797T
1599201462 0.7 805T
1599201464 0.7 925T
1599201466 0.7 961T
1599201472 0.7 1079T
1599201476 0.7 1146T
1599201477 0.7 52T
1599201480 0.7 1280T
1599201484 0.7 538T
1599201488 0.7 1202T
1599201493 0.7 38T
1599201496 0.7 980T
1599201501 0.7 1083T
1599201505 0.7 1193T
1599201506 0.7 603T
1599201508 0.7 720T
1599201511 0.7 1056T
1599201513 0.7 538T
1599201515 0.7 261T
1599201517 0.7 1092T
1599201519 0.7 236T
1599201521 0.7 728T
1599201523 0.7 1240T
1599201525 0.7 826T
1599201527 0.7 538T
1599201530 0.7 366T
1599201532 0.7 888T
1599201534 0.7 978T
1599201537 0.7 1126T
1599201544 0.7 1136T
1599201546 0.7 782T
1599201548 0.7 538T
1599201551 0.7 803T
1599201553 0.7 538T
1599201554 0.7 123T
1599201558 0.7 538T
1599201561 0.7 631T
1599201563 0.7 1002T
1599201565 0.7 1138T
1599201566 0.7 775T
1599201568 0.7 348T
1599201570 0.7 957T
1599201573 0.7 557T
1599201581 0.7 538T
1599201585 0.7 787T
1599201590 0.7 39T
1599201593 0.7 1009T
1599201595 0.7 685T
1599201598 0.7 615T
1599201603 0.7 1249T
1599201606 0.7 309T
1599201612 0.7 1238T
1599201615 0.7 1098T
1599201618 0.7 1297T
1599201621 0.7 538T
1599201626 0.7 738T
1599201628 0.7 868T
1599201632 0.7 892T
1599201633 0.7 538T
1599201635 0.7 1101T
1599201637 0.7 49T
1599201639 0.7 538T
1599201643 0.7 1207T
1599201645 0.7 52T
1599201649 0.7 661T
1599201651 0.7 1089T
1599201653 0.7 538T
1599201657 0.7 775T
1599201659 0.7 1227T
1599201664 0.7 820T
1599201668 0.7 1159T
1599201669 0.7 930T
1599201671 0.7 1056T
1599201673 0.7 249T
1599201675 0.7 1099T
1599201676 0.7 1131T
1599201678 0.7 1297T
1599201683 0.7 864T
1599201686 0.7 1199T
1599201688 0.7 1122T
1599201691 0.7 538T
1599201694 0.7 236T
1599201698 0.7 52T
1599201700 0.7 1186T
1599201702 0.7 898T
1599201707 0.7 612T
1599201709 0.7 820T
1599201711 0.7 813T
1599201715 0.7 1207T
1599201718 0.7 52T
1599201726 0.7 1137T
1599201729 0.7 358T
1599201733 0.7 952T
1599201736 0.7 915T
1599201739 0.7 123T
1599201740 0.7 1079T
1599201748 0.7 1242T
1599201751 0.7 538T
1599201755 0.7 1056T
1599201756 0.7 563T
1599201759 0.7 1133T
1599201761 0.7 123T
1599201764 0.7 1249T
1599201767 0.7 538T
1599201773 0.7 1057T
1599201777 0.7 538T
1599201779 0.7 87T
1599201781 0.7 123T
1599201782 0.7 369T
1599201785 0.7 852T
1599201793 0.7 1033T
1599201794 0.7 1090T
1599201803 0.7 47T
1599201806 0.7 538T
1599201810 0.7 891T
1599201813 0.7 1051T
1599201818 0.7 350T
1599201820 0.7 1277T
1599201822 0.7 1206T
1599201825 0.7 6T
1599201827 0.7 593T
1599201832 0.7 524T
1599201836 0.7 246T
1599201838 0.7 1000T
1599201841 0.7 538T
1599201845 0.7 1056T
1599201847 0.7 123T
1599201849 0.7 52T
1599201852 0.7 25T
1599201858 0.7 1328T
1599201861 0.7 1070T
1599201863 0.7 527T
1599201864 0.7 925T
1599201867 0.7 759T
1599201870 0.7 574T
1599201872 0.7 1163T
1599201875 0.7 1137T
1599201877 0.7 996T
1599201880 0.7 518T
1599201882 0.7 1186T
1599201885 0.7 538T
1599201889 0.7 615T
1599201891 0.7 631T
1599201893 0.7 936T
