time noise chunk
1599183470 0.7 538t
1599183522 0.7 672T
1599183647 0.7 289T
1599183673 0.7 748T
1599183675 0.7 1079T
1599183703 0.7 1242T
1599183704 0.7 107T
1599183707 0.7 158T
1599183717 0.7 1146T
1599183719 0.7 1137T
1599183722 0.7 236T
1599183730 0.7 1078T
1599183734 0.7 681T
1599183738 0.7 283T
1599183743 0.7 1050T
1599183750 0.7 1060T
1599183760 0.7 547T
1599183768 0.7 673T
1599183772 0.7 1314T
1599183781 0.7 549T
1599183789 0.7 1278T
1599183794 0.7 722T
1599183798 0.7 1087T
1599183802 0.7 93T
1599183805 0.7 625T
1599183810 0.7 627T
1599183813 0.7 39T
1599183817 0.7 587T
1599183820 0.7 361T
1599183824 0.7 174T
1599183829 0.7 154T
1599183833 0.7 1137T
1599183837 0.7 1056T
1599183841 0.7 648T
1599183845 0.7 538T
1599183849 0.7 668T
1599183855 0.7 247T
1599183857 0.7 1146T
1599183864 0.7 1277T
1599183867 0.7 852T
1599183872 0.7 308T
1599183876 0.7 52T
1599183881 0.7 888T
1599183886 0.7 550T
1599183890 0.7 538T
1599183894 0.7 1164T
1599183902 0.7 1242T
1599183907 0.7 1056T
1599183914 0.7 257T
1599183918 0.7 1090T
1599183921 0.7 538T
1599183928 0.7 8T
1599183935 0.7 780T
1599183943 0.7 1172T
1599183948 0.7 1207T
1599183951 0.7 52T
1599183954 0.7 1032T
1599183956 0.7 654T
1599183959 0.7 1013T
1599183964 0.7 852T
1599183971 0.7 286T
1599183971 0.7 1089T
1599183975 0.7 52T
1599183976 0.7 1104T
1599183979 0.7 538T
1599183982 0.7 815T
1599183985 0.7 1032T
1599183987 0.7 158T
1599183989 0.7 1300T
1599183992 0.7 1070T
1599183994 0.7 706T
1599183996 0.7 557T
1599183998 0.7 625T
1599184000 0.7 1115T
1599184001 0.7 704T
1599184004 0.7 1277T
1599184010 0.7 257T
1599184013 0.7 176T
1599184017 0.7 1131T
1599184023 0.7 827T
1599184027 0.7 1128T
1599184031 0.7 538T
1599184034 0.7 1291T
1599184037 0.7 52T
1599184040 0.7 1331T
1599184043 0.7 1143T
1599184045 0.7 1193T
1599184049 0.7 323T
1599184054 0.7 52T
1599184056 0.7 123T
1599184061 0.7 949T
1599184065 0.7 369T
1599184067 0.7 257T
1599184070 0.7 1115T
1599184073 0.7 1102T
1599184078 0.7 538T
1599184082 0.7 549T
1599184086 0.7 371T
1599184092 0.7 538T
1599184096 0.7 599T
1599184098 0.7 34T
1599184101 0.7 321T
1599184103 0.7 1064T
1599184106 0.7 673T
1599184108 0.7 333T
1599184112 0.7 563T
1599184116 0.7 595T
