time noise chunk
1592267009 0.7 1338t
1592267021 0.7 1323T
1592267021 0.7 538T
1592267022 0.7 528T
1592267022 0.7 1002T
1592267023 0.7 15T
1592267023 0.7 16T
1592267024 0.7 15T
1592267025 0.7 16T
1592267025 0.7 558T
1592267026 0.7 568T
1592267026 0.7 760T
1592267027 0.7 794T
1592267028 0.7 86T
1592267028 0.7 91T
1592267029 0.7 889T
1592267029 0.7 894T
1592267030 0.7 292T
1592267031 0.7 843T
1592267032 0.7 292T
1592267032 0.7 291T
1592267033 0.7 894T
1592267033 0.7 1145T
1592267035 0.7 315T
1592267035 0.7 318T
1592267035 0.7 320T
1592267036 0.7 318T
1592267036 0.7 319T
1592267037 0.7 318T
1592267037 0.7 320T
1592267037 0.7 318T
1592267038 0.7 319T
1592267038 0.7 320T
1592267039 0.7 318T
1592267039 0.7 320T
1592267040 0.7 319T
1592267040 0.7 357T
1592267041 0.7 319T
1592267041 0.7 318T
1592267041 0.7 361T
1592267042 0.7 362T
1592267042 0.7 361T
1592267043 0.7 362T
1592267043 0.7 545T
1592267044 0.7 1145T
1592267044 0.7 1264T
1592267045 0.7 913T
1592267046 0.7 796T
1592267047 0.7 773T
1592267048 0.7 770T
1592267048 0.7 1232T
1592267049 0.7 836T
1592267049 0.7 1120T
1592267050 0.7 312T
1592267050 0.7 295T
1592267051 0.7 1100T
1592267051 0.7 1315T
1592267052 0.7 1124T
1592267052 0.7 784T
1592267053 0.7 607T
1592267053 0.7 568T
1592267054 0.7 621T
1592267055 0.7 895T
1592267056 0.7 806T
1592267056 0.7 578T
1592267058 0.7 574T
1592267058 0.7 578T
1592267060 0.7 292T
1592267063 0.7 1259T
1592267064 0.7 1260T
1592267064 0.7 104T
1592267065 0.7 1053T
1592267065 0.7 104T
1592267066 0.7 1260T
1592267067 0.7 856T
1592267067 0.7 870T
1592267067 0.7 856T
1592267068 0.7 870T
1592267068 0.7 856T
1592267069 0.7 870T
1592267069 0.7 237T
1592267070 0.7 1264T
1592267070 0.7 175T
1592267071 0.7 107T
1592267071 0.7 106T
1592267072 0.7 107T
1592267072 0.7 174T
1592267073 0.7 1007T
1592267073 0.7 1030T
1592267074 0.7 436T
1592267074 0.7 420T
1592267075 0.7 852T
1592267075 0.7 112T
1592267077 0.7 65T
1592267077 0.7 1183T
1592267078 0.7 1274T
1592267079 0.7 1144T
1592267079 0.7 1274T
1592267080 0.7 1185T
1592267080 0.7 776T
1592267081 0.7 777T
1592267081 0.7 554T
1592267082 0.7 1243T
1592267083 0.7 656T
1592267083 0.7 332T
1592267086 0.7 1278T
1592267086 0.7 1259T
1592267087 0.7 1193T
1592267088 0.7 330T
1592267089 0.7 523T
1592267089 0.7 20T
1592267090 0.7 523T
1592267090 0.7 20T
1592267092 0.7 21T
1592267093 0.7 17T
1592267093 0.7 23T
1592267094 0.7 1151T
1592267094 0.7 1197T
1592267095 0.7 665T
1592267096 0.7 300T
1592267097 0.7 596T
1592267097 0.7 878T
1592267098 0.7 20T
1592267098 0.7 19T
1592267099 0.7 1294T
1592267099 0.7 1099T
1592267100 0.7 299T
1592267100 0.7 169T
1592267101 0.7 652T
1592267102 0.7 759T
1592267102 0.7 625T
1592267104 0.7 759T
1592267104 0.7 99T
1592267105 0.7 654T
1592267106 0.7 1074T
1592267106 0.7 1129T
1592267106 0.7 1048T
1592267107 0.7 1129T
1592267108 0.7 1048T
1592267108 0.7 1129T
1592267108 0.7 1048T
1592267109 0.7 1073T
1592267109 0.7 1072T
1592267110 0.7 1073T
1592267110 0.7 1074T
1592267111 0.7 1110T
1592267112 0.7 833T
1592267112 0.7 1318T
1592267113 0.7 1323T
1592267114 0.7 518T
1592267116 0.7 748T
1592267117 0.7 664T
1592267118 0.7 568T
1592267121 0.7 637T
1592267122 0.7 804T
1592267123 0.7 812T
1592267123 0.7 810T
1592267123 0.7 604T
1592267124 0.7 911T
1592267124 0.7 1104T
1592267125 0.7 562T
1592267126 0.7 726T
1592267126 0.7 564T
1592267127 0.7 727T
1592267127 0.7 571T
1592267128 0.7 316T
1592267129 0.7 317T
1592267130 0.7 314T
1592267131 0.7 312T
1592267132 0.7 315T
1592267132 0.7 916T
1592267133 0.7 821T
1592267133 0.7 1115T
1592267134 0.7 942T
1592267135 0.7 943T
1592267135 0.7 1115T
1592267136 0.7 1004T
1592267136 0.7 662T
1592267137 0.7 1299T
1592267138 0.7 1334T
1592267138 0.7 545T
1592267139 0.7 546T
1592267139 0.7 606T
1592267142 0.7 772T
1592267143 0.7 803T
1592267143 0.7 678T
1592267144 0.7 679T
1592267144 0.7 678T
1592267145 0.7 679T
1592267145 0.7 678T
1592267146 0.7 679T
1592267146 0.7 678T
1592267146 0.7 679T
1592267147 0.7 678T
1592267147 0.7 679T
1592267148 0.7 1244T
1592267149 0.7 847T
1592267149 0.7 157T
1592267151 0.7 1295T
1592267152 0.7 663T
1592267153 0.7 78T
1592267153 0.7 993T
1592267154 0.7 19T
1592267154 0.7 20T
1592267155 0.7 21T
1592267155 0.7 251T
1592267156 0.7 743T
1592267157 0.7 546T
1592267161 0.7 1263T
1592267162 0.7 1168T
1592267163 0.7 1184T
1592267163 0.7 302T
1592267164 0.7 301T
1592267164 0.7 1053T
1592267166 0.7 1041T
1592267166 0.7 792T
1592267167 0.7 261T
1592267167 0.7 325T
1592267168 0.7 330T
1592267168 0.7 1037T
1592267169 0.7 188T
1592267169 0.7 186T
1592267170 0.7 188T
1592267170 0.7 186T
1592267171 0.7 185T
1592267172 0.7 188T
1592267172 0.7 186T
1592267173 0.7 188T
1592267173 0.7 892T
1592267174 0.7 658T
1592267175 0.7 617T
1592267175 0.7 619T
1592267176 0.7 617T
1592267176 0.7 615T
1592267177 0.7 305T
1592267178 0.7 698T
1592267178 0.7 305T
1592267179 0.7 307T
1592267181 0.7 309T
1592267181 0.7 716T
1592267182 0.7 683T
1592267184 0.7 81T
1592267185 0.7 626T
1592267185 0.7 980T
1592267188 0.7 113T
1592267188 0.7 241T
1592267189 0.7 123T
1592267190 0.7 121T
1592267191 0.7 899T
1592267191 0.7 762T
1592267192 0.7 80T
1592267193 0.7 562T
1592267193 0.7 1293T
1592267194 0.7 700T
1592267194 0.7 1156T
1592267196 0.7 113T
1592267197 0.7 618T
1592267197 0.7 518T
1592267199 0.7 578T
1592267200 0.7 1083T
1592267201 0.7 822T
1592267202 0.7 1131T
1592267202 0.7 279T
1592267203 0.7 180T
1592267204 0.7 118T
1592267205 0.7 311T
1592267206 0.7 605T
1592267206 0.7 22T
1592267207 0.7 582T
1592267208 0.7 85T
1592267208 0.7 166T
1592267209 0.7 165T
1592267209 0.7 166T
1592267210 0.7 165T
1592267210 0.7 166T
1592267211 0.7 165T
1592267212 0.7 166T
1592267212 0.7 165T
1592267213 0.7 1197T
1592267213 0.7 750T
1592267214 0.7 738T
1592267215 0.7 768T
1592267215 0.7 1297T
1592267216 0.7 356T
1592267217 0.7 298T
1592267217 0.7 269T
1592267218 0.7 270T
1592267219 0.7 1255T
1592267219 0.7 1135T
1592267220 0.7 932T
1592267221 0.7 979T
1592267223 0.7 980T
1592267223 0.7 179T
1592267224 0.7 177T
1592267224 0.7 179T
1592267225 0.7 184T
1592267226 0.7 1264T
1592267227 0.7 771T
1592267228 0.7 665T
1592267229 0.7 283T
1592267230 0.7 748T
1592267230 0.7 180T
1592267231 0.7 590T
1592267231 0.7 805T
1592267232 0.7 822T
1592267232 0.7 1095T
1592267233 0.7 799T
1592267234 0.7 911T
1592267235 0.7 694T
1592267235 0.7 692T
1592267236 0.7 271T
1592267237 0.7 1032T
1592267238 0.7 1011T
1592267238 0.7 1012T
1592267239 0.7 1011T
1592267239 0.7 1012T
1592267240 0.7 524T
1592267240 0.7 526T
1592267241 0.7 524T
1592267241 0.7 526T
1592267242 0.7 524T
1592267242 0.7 526T
1592267243 0.7 524T
1592267244 0.7 526T
1592267245 0.7 524T
1592267245 0.7 526T
1592267246 0.7 91T
1592267247 0.7 627T
1592267248 0.7 788T
1592267249 0.7 809T
1592267250 0.7 321T
