time noise chunk
1594023312 0.7 1328t
1594023317 0.7 1194T
1594023323 0.7 1183T
1594023326 0.7 1194T
1594023333 0.7 716T
1594023337 0.7 1098T
1594023337 0.7 1097T
1594023338 0.7 92T
1594023339 0.7 651T
1594023340 0.7 584T
1594023340 0.7 630T
1594023341 0.7 268T
1594023342 0.7 1329T
1594023342 0.7 668T
1594023344 0.7 896T
1594023345 0.7 1228T
1594023346 0.7 67T
1594023346 0.7 635T
1594023347 0.7 1336T
1594023348 0.7 836T
1594023348 0.7 974T
1594023349 0.7 1116T
1594023350 0.7 1115T
1594023351 0.7 160T
1594023351 0.7 152T
1594023352 0.7 159T
1594023354 0.7 152T
1594023354 0.7 123T
1594023355 0.7 236T
1594023355 0.7 160T
1594023356 0.7 1328T
1594023356 0.7 1325T
1594023357 0.7 1328T
1594023357 0.7 834T
1594023358 0.7 558T
1594023358 0.7 598T
1594023359 0.7 1263T
1594023359 0.7 1143T
1594023360 0.7 926T
1594023360 0.7 1143T
1594023361 0.7 1217T
1594023362 0.7 673T
1594023362 0.7 952T
1594023363 0.7 603T
1594023364 0.7 538T
1594023365 0.7 60T
1594023366 0.7 627T
1594023367 0.7 1146T
1594023368 0.7 593T
1594023368 0.7 772T
1594023369 0.7 773T
1594023369 0.7 1298T
1594023370 0.7 635T
1594023371 0.7 892T
1594023371 0.7 670T
1594023372 0.7 587T
1594023373 0.7 589T
1594023373 0.7 553T
1594023374 0.7 606T
1594023375 0.7 979T
1594023379 0.7 354T
1594023380 0.7 91T
1594023381 0.7 1328T
1594023382 0.7 538T
1594023383 0.7 536T
1594023383 0.7 538T
1594023384 0.7 574T
1594023385 0.7 538T
1594023385 0.7 366T
1594023386 0.7 538T
1594023387 0.7 1328T
1594023388 0.7 1190T
1594023388 0.7 1201T
1594023389 0.7 1191T
1594023389 0.7 1217T
1594023390 0.7 1201T
1594023390 0.7 1243T
1594023391 0.7 888T
1594023392 0.7 250T
1594023392 0.7 656T
1594023393 0.7 978T
1594023394 0.7 655T
1594023395 0.7 766T
1594023395 0.7 369T
1594023395 0.7 1050T
1594023396 0.7 25T
1594023396 0.7 1311T
1594023397 0.7 93T
1594023397 0.7 752T
1594023399 0.7 888T
1594023401 0.7 250T
1594023401 0.7 655T
1594023401 0.7 650T
1594023402 0.7 72T
1594023403 0.7 1040T
1594023404 0.7 1043T
1594023405 0.7 1041T
1594023408 0.7 1148T
1594023408 0.7 1280T
1594023409 0.7 152T
1594023410 0.7 169T
1594023410 0.7 168T
1594023411 0.7 670T
1594023411 0.7 409T
1594023412 0.7 1234T
1594023412 0.7 779T
1594023412 0.7 888T
1594023413 0.7 725T
1594023414 0.7 886T
1594023415 0.7 634T
1594023416 0.7 624T
1594023416 0.7 1328T
1594023417 0.7 1319T
1594023418 0.7 1325T
1594023418 0.7 1052T
1594023420 0.7 1041T
1594023420 0.7 1263T
1594023422 0.7 741T
1594023423 0.7 699T
1594023424 0.7 649T
1594023425 0.7 1328T
1594023426 0.7 542T
1594023427 0.7 1328T
1594023429 0.7 1319T
1594023429 0.7 1321T
1594023432 0.7 808T
1594023433 0.7 538T
1594023434 0.7 840T
1594023434 0.7 538T
1594023435 0.7 542T
1594023436 0.7 92T
1594023438 0.7 764T
1594023438 0.7 978T
1594023439 0.7 1328T
1594023439 0.7 1319T
1594023440 0.7 1325T
1594023441 0.7 668T
1594023441 0.7 369T
1594023442 0.7 1328T
1594023442 0.7 375T
1594023443 0.7 846T
1594023444 0.7 1328T
1594023444 0.7 1319T
1594023445 0.7 963T
1594023445 0.7 1236T
1594023446 0.7 963T
1594023446 0.7 1236T
1594023447 0.7 963T
1594023447 0.7 1329T
1594023448 0.7 738T
1594023449 0.7 779T
1594023449 0.7 1140T
1594023450 0.7 1120T
1594023450 0.7 773T
