time noise chunk
1592375594 0.7 791t
1592375600 0.7 1090T
1592375606 0.7 1271T
1592375607 0.7 332T
1592375635 0.7 1136T
1592375642 0.7 78T
1592375643 0.7 186T
1592375644 0.7 254T
1592375645 0.7 409T
1592375647 0.7 1081T
1592375648 0.7 1264T
1592375650 0.7 415T
1592375652 0.7 596T
1592375654 0.7 735T
1592375655 0.7 732T
1592375656 0.7 555T
1592375657 0.7 154T
1592375659 0.7 925T
1592375661 0.7 716T
1592375664 0.7 1058T
1592375666 0.7 1066T
1592375668 0.7 1039T
1592375670 0.7 575T
1592375672 0.7 945T
1592375674 0.7 346T
1592375676 0.7 538T
1592375677 0.7 185T
1592375679 0.7 1065T
1592375680 0.7 1336T
1592375681 0.7 821T
1592375683 0.7 266T
1592375685 0.7 980T
1592375686 0.7 116T
1592375688 0.7 913T
1592375691 0.7 73T
1592375693 0.7 683T
1592375694 0.7 716T
1592375696 0.7 369T
1592375696 0.7 738T
1592375699 0.7 593T
1592375700 0.7 1185T
1592375702 0.7 176T
1592375703 0.7 683T
1592375707 0.7 340T
1592375709 0.7 595T
1592375710 0.7 161T
1592375711 0.7 996T
1592375712 0.7 1052T
1592375715 0.7 635T
1592375716 0.7 1082T
1592375718 0.7 1263T
1592375719 0.7 1140T
1592375722 0.7 92T
1592375724 0.7 667T
1592375726 0.7 1022T
1592375728 0.7 893T
1592375729 0.7 44T
1592375732 0.7 16T
1592375733 0.7 1237T
1592375734 0.7 1009T
1592375737 0.7 76T
1592375738 0.7 727T
1592375743 0.7 114T
1592375745 0.7 670T
1592375747 0.7 612T
1592375748 0.7 955T
1592375750 0.7 772T
1592375751 0.7 344T
1592375752 0.7 1218T
1592375753 0.7 159T
1592375755 0.7 736T
1592375757 0.7 607T
1592375762 0.7 808T
1592375764 0.7 466T
1592375765 0.7 1314T
1592375768 0.7 1081T
1592375770 0.7 358T
1592375771 0.7 1234T
1592375773 0.7 47T
1592375775 0.7 240T
1592375777 0.7 1206T
1592375779 0.7 651T
1592375782 0.7 42T
1592375784 0.7 978T
1592375786 0.7 719T
1592375787 0.7 5T
1592375791 0.7 31T
1592375794 0.7 683T
1592375796 0.7 805T
1592375797 0.7 261T
1592375798 0.7 68T
1592375799 0.7 1011T
1592375801 0.7 1184T
1592375802 0.7 755T
1592375804 0.7 651T
1592375805 0.7 616T
1592375808 0.7 972T
1592375809 0.7 1T
1592375811 0.7 385T
1592375814 0.7 1000T
1592375816 0.7 375T
1592375817 0.7 179T
1592375819 0.7 518T
1592375820 0.7 745T
1592375822 0.7 1263T
1592375825 0.7 177T
1592375826 0.7 1311T
1592375829 0.7 660T
1592375832 0.7 659T
1592375834 0.7 1261T
1592375838 0.7 1197T
1592375839 0.7 568T
1592375841 0.7 20T
1592375842 0.7 1206T
1592375844 0.7 1218T
1592375846 0.7 963T
1592375847 0.7 1340T
1592375849 0.7 668T
1592375852 0.7 337T
1592375854 0.7 1195T
1592375855 0.7 348T
1592375858 0.7 823T
1592375861 0.7 1227T
1592375862 0.7 1156T
1592375865 0.7 1102T
1592375867 0.7 1051T
1592375869 0.7 854T
1592375872 0.7 807T
1592375874 0.7 29T
1592375877 0.7 717T
1592375878 0.7 1192T
1592375880 0.7 30T
1592375882 0.7 1156T
1592375884 0.7 431T
1592375886 0.7 1090T
1592375888 0.7 836T
1592375890 0.7 1166T
1592375892 0.7 1229T
1592375893 0.7 265T
1592375896 0.7 1174T
1592375899 0.7 1206T
1592375902 0.7 701T
1592375904 0.7 575T
1592375908 0.7 566T
1592375909 0.7 296T
1592375912 0.7 1033T
1592375913 0.7 878T
1592375920 0.7 238T
1592375922 0.7 1199T
1592375925 0.7 1074T
1592375927 0.7 103T
1592375930 0.7 1143T
1592375934 0.7 471T
1592375935 0.7 1007T
1592375936 0.7 660T
1592375937 0.7 1095T
1592375939 0.7 664T
1592375941 0.7 237T
1592375942 0.7 563T
1592375943 0.7 618T
1592375945 0.7 1331T
1592375945 0.7 6T
1592375947 0.7 1244T
1592375949 0.7 757T
1592375951 0.7 101T
1592375953 0.7 665T
1592375954 0.7 108T
1592375956 0.7 327T
1592375958 0.7 383T
1592375960 0.7 1313T
1592375962 0.7 1330T
1592375963 0.7 784T
1592375966 0.7 307T
1592375968 0.7 617T
1592375972 0.7 899T
1592375974 0.7 1204T
1592375975 0.7 1315T
1592375976 0.7 612T
1592375977 0.7 167T
1592375978 0.7 347T
1592375980 0.7 661T
1592375981 0.7 1165T
1592375982 0.7 814T
1592375983 0.7 762T
1592375985 0.7 354T
1592375987 0.7 1300T
1592375989 0.7 326T
1592375990 0.7 1130T
1592375991 0.7 1130T
1592375993 0.7 740T
1592375995 0.7 822T
1592375997 0.7 605T
1592376000 0.7 116T
1592376002 0.7 661T
1592376004 0.7 591T
1592376005 0.7 1077T
1592376008 0.7 365T
1592376009 0.7 768T
1592376011 0.7 651T
1592376014 0.7 1110T
1592376015 0.7 47T
1592376017 0.7 1065T
1592376019 0.7 1111T
1592376021 0.7 671T
1592376022 0.7 335T
1592376023 0.7 333T
1592376025 0.7 863T
1592376027 0.7 313T
1592376029 0.7 327T
1592376031 0.7 927T
1592376033 0.7 767T
1592376035 0.7 731T
1592376036 0.7 1140T
1592376038 0.7 916T
1592376039 0.7 1143T
1592376041 0.7 351T
1592376042 0.7 905T
1592376043 0.7 409T
1592376045 0.7 851T
1592376046 0.7 1270T
1592376048 0.7 349T
1592376049 0.7 878T
1592376052 0.7 236T
1592376053 0.7 321T
1592376055 0.7 543T
1592376056 0.7 348T
1592376058 0.7 265T
1592376059 0.7 420T
1592376061 0.7 68T
1592376062 0.7 159T
1592376063 0.7 646T
1592376065 0.7 153T
1592376066 0.7 1336T
1592376067 0.7 727T
1592376068 0.7 353T
1592376069 0.7 84T
1592376071 0.7 554T
1592376073 0.7 240T
1592376075 0.7 374T
1592376076 0.7 1102T
1592376079 0.7 257T
1592376082 0.7 261T
1592376083 0.7 896T
1592376086 0.7 494T
1592376087 0.7 299T
1592376089 0.7 113T
1592376090 0.7 965T
1592376091 0.7 801T
1592376093 0.7 238T
1592376095 0.7 641T
1592376096 0.7 709T
1592376098 0.7 1107T
1592376100 0.7 780T
1592376101 0.7 626T
1592376102 0.7 50T
1592376103 0.7 238T
1592376105 0.7 913T
1592376106 0.7 1052T
1592376109 0.7 886T
1592376111 0.7 1234T
1592376112 0.7 1263T
1592376115 0.7 74T
1592376117 0.7 184T
1592376119 0.7 556T
1592376122 0.7 750T
1592376126 0.7 92T
1592376129 0.7 765T
1592376131 0.7 102T
1592376133 0.7 176T
1592376136 0.7 124T
1592376138 0.7 72T
1592376140 0.7 181T
1592376142 0.7 762T
1592376143 0.7 993T
1592376146 0.7 36T
1592376148 0.7 254T
1592376149 0.7 1297T
1592376150 0.7 1051T
1592376151 0.7 845T
1592376153 0.7 582T
1592376154 0.7 626T
1592376157 0.7 1108T
1592376159 0.7 896T
1592376161 0.7 758T
1592376164 0.7 782T
1592376166 0.7 767T
1592376168 0.7 1130T
1592376169 0.7 1255T
1592376171 0.7 757T
1592376173 0.7 349T
1592376174 0.7 1338T
1592376176 0.7 896T
1592376181 0.7 358T
1592376182 0.7 768T
1592376184 0.7 78T
1592376185 0.7 157T
1592376187 0.7 607T
1592376188 0.7 765T
1592376189 0.7 788T
1592376191 0.7 1097T
1592376193 0.7 150T
1592376195 0.7 121T
1592376198 0.7 1234T
1592376200 0.7 19T
1592376202 0.7 812T
1592376203 0.7 1115T
1592376203 0.7 14T
1592376205 0.7 1104T
1592376209 0.7 997T
1592376210 0.7 653T
1592376211 0.7 823T
1592376212 0.7 605T
1592376214 0.7 649T
1592376215 0.7 83T
1592376217 0.7 523T
1592376218 0.7 24T
1592376219 0.7 185T
1592376221 0.7 1053T
1592376222 0.7 778T
1592376224 0.7 274T
1592376226 0.7 358T
1592376227 0.7 1145T
1592376228 0.7 672T
1592376230 0.7 777T
1592376232 0.7 1163T
1592376234 0.7 814T
1592376235 0.7 936T
1592376236 0.7 428T
1592376238 0.7 999T
1592376240 0.7 1330T
1592376241 0.7 568T
1592376243 0.7 630T
1592376245 0.7 300T
1592376246 0.7 92T
1592376247 0.7 570T
