time noise chunk
1592988902 0.7 538t
1592988915 0.7 367T
1592988916 0.7 1238T
1592988917 0.7 1239T
1592988918 0.7 651T
1592988918 0.7 1126T
1592988919 0.7 784T
1592988920 0.7 888T
1592988921 0.7 363T
1592988922 0.7 360T
1592988923 0.7 889T
1592988924 0.7 762T
1592988924 0.7 657T
1592988925 0.7 699T
1592988925 0.7 889T
1592988926 0.7 360T
1592988927 0.7 812T
1592988928 0.7 1108T
1592988929 0.7 823T
1592988929 0.7 1143T
1592988931 0.7 1151T
1592988934 0.7 1197T
1592988934 0.7 1151T
1592988935 0.7 979T
1592988936 0.7 607T
1592988937 0.7 236T
1592988937 0.7 1070T
1592988938 0.7 1171T
1592988939 0.7 944T
1592988939 0.7 1262T
1592988940 0.7 538T
1592988940 0.7 891T
1592988941 0.7 1033T
1592988942 0.7 344T
1592988942 0.7 894T
1592988943 0.7 249T
1592988944 0.7 660T
1592988944 0.7 1151T
1592988945 0.7 1197T
1592988946 0.7 1151T
1592988946 0.7 750T
1592988947 0.7 794T
1592988947 0.7 652T
1592988948 0.7 657T
1592988949 0.7 634T
1592988949 0.7 657T
1592988950 0.7 699T
1592988950 0.7 627T
1592988951 0.7 52T
1592988951 0.7 55T
1592988952 0.7 52T
1592988952 0.7 55T
1592988953 0.7 52T
1592988953 0.7 607T
1592988954 0.7 1102T
1592988954 0.7 542T
1592988955 0.7 92T
1592988955 0.7 707T
1592988959 0.7 696T
1592988959 0.7 618T
1592988961 0.7 108T
1592988962 0.7 59T
1592988963 0.7 538T
1592988964 0.7 843T
1592988964 0.7 292T
1592988965 0.7 894T
1592988965 0.7 292T
1592988969 0.7 732T
1592988969 0.7 586T
1592988970 0.7 755T
1592988971 0.7 741T
1592988971 0.7 656T
1592988972 0.7 979T
1592988973 0.7 796T
1592988974 0.7 121T
1592988975 0.7 80T
1592988977 0.7 1163T
1592988977 0.7 656T
1592988979 0.7 687T
1592988980 0.7 656T
1592988981 0.7 659T
1592988982 0.7 635T
1592988982 0.7 334T
1592988983 0.7 333T
1592988984 0.7 334T
1592988984 0.7 150T
1592988986 0.7 315T
1592988987 0.7 786T
1592988989 0.7 625T
1592988991 0.7 1277T
1592988991 0.7 1000T
1592988992 0.7 316T
1592988993 0.7 317T
1592988995 0.7 316T
1592988995 0.7 584T
1592988996 0.7 760T
1592988997 0.7 667T
1592988998 0.7 559T
1592988999 0.7 1122T
1592989000 0.7 367T
1592989000 0.7 538T
1592989001 0.7 372T
1592989002 0.7 371T
1592989003 0.7 536T
1592989003 0.7 371T
1592989004 0.7 372T
1592989005 0.7 338T
1592989005 0.7 1242T
1592989006 0.7 538T
1592989007 0.7 599T
1592989008 0.7 1035T
1592989008 0.7 1075T
1592989009 0.7 1077T
1592989010 0.7 1076T
1592989011 0.7 1248T
1592989012 0.7 780T
1592989013 0.7 1198T
1592989014 0.7 649T
1592989014 0.7 1001T
1592989015 0.7 54T
1592989015 0.7 1001T
1592989017 0.7 1146T
1592989017 0.7 1156T
1592989018 0.7 701T
1592989019 0.7 558T
1592989020 0.7 1099T
1592989021 0.7 299T
1592989022 0.7 907T
1592989022 0.7 896T
1592989023 0.7 562T
1592989025 0.7 560T
1592989027 0.7 1243T
1592989027 0.7 1242T
1592989028 0.7 1246T
1592989028 0.7 1202T
1592989029 0.7 1246T
1592989030 0.7 1202T
1592989031 0.7 1246T
1592989032 0.7 930T
1592989032 0.7 950T
1592989033 0.7 878T
1592989034 0.7 841T
1592989034 0.7 1079T
1592989035 0.7 1078T
1592989036 0.7 1079T
1592989036 0.7 1078T
1592989037 0.7 827T
1592989037 0.7 834T
1592989038 0.7 835T
1592989039 0.7 239T
1592989039 0.7 240T
1592989040 0.7 1089T
1592989041 0.7 1090T
1592989042 0.7 1052T
1592989043 0.7 744T
1592989043 0.7 1110T
1592989044 0.7 1070T
1592989044 0.7 1148T
1592989045 0.7 1181T
1592989046 0.7 817T
1592989047 0.7 816T
1592989047 0.7 817T
1592989048 0.7 819T
1592989049 0.7 799T
1592989050 0.7 625T
1592989051 0.7 656T
1592989053 0.7 552T
1592989053 0.7 554T
1592989054 0.7 1106T
1592989055 0.7 1101T
1592989056 0.7 1095T
1592989057 0.7 1198T
1592989057 0.7 1212T
1592989058 0.7 801T
1592989058 0.7 100T
1592989059 0.7 248T
1592989060 0.7 1291T
1592989060 0.7 1292T
1592989061 0.7 273T
1592989061 0.7 272T
1592989062 0.7 572T
1592989063 0.7 538T
1592989064 0.7 723T
1592989064 0.7 667T
1592989065 0.7 723T
1592989066 0.7 615T
1592989067 0.7 764T
1592989068 0.7 767T
1592989068 0.7 1242T
1592989069 0.7 1193T
1592989070 0.7 121T
1592989070 0.7 123T
1592989071 0.7 152T
1592989072 0.7 153T
1592989073 0.7 899T
1592989074 0.7 656T
1592989075 0.7 684T
1592989075 0.7 656T
1592989077 0.7 784T
1592989077 0.7 1215T
1592989078 0.7 791T
1592989079 0.7 57T
1592989079 0.7 360T
1592989080 0.7 359T
1592989081 0.7 578T
1592989083 0.7 660T
1592989084 0.7 674T
1592989086 0.7 100T
1592989087 0.7 812T
1592989087 0.7 100T
1592989090 0.7 796T
1592989091 0.7 52T
1592989092 0.7 55T
1592989093 0.7 52T
1592989093 0.7 788T
1592989095 0.7 1149T
1592989096 0.7 1194T
