time noise chunk
time noise chunk
1601110121 0.7 538t
1601110347 0.7 787T
1601110348 0.7 333T
1601110406 0.7 625T
1601110407 0.7 538T
1601110407 0.7 915T
1601110409 0.7 808T
1601110410 0.7 1070T
1601110410 0.7 1185T
1601110412 0.7 52T
1601110413 0.7 1099T
1601110416 0.7 1061T
1601110419 0.7 538T
1601110421 0.7 1161T
1601110423 0.7 669T
1601110426 0.7 293T
1601110429 0.7 797T
1601110430 0.7 1289T
1601110431 0.7 538T
1601110433 0.7 1246T
1601110434 0.7 874T
1601110436 0.7 1032T
1601110438 0.7 371T
1601110440 0.7 514T
1601110442 0.7 1181T
1601110445 0.7 52T
1601110446 0.7 890T
1601110449 0.7 1315T
1601110452 0.7 52T
1601110453 0.7 123T
1601110456 0.7 1134T
1601110459 0.7 945T
1601110461 0.7 290T
1601110462 0.7 252T
1601110465 0.7 1070T
1601110466 0.7 1033T
1601110468 0.7 52T
1601110469 0.7 1115T
1601110471 0.7 1092T
1601110474 0.7 717T
1601110478 0.7 538T
1601110481 0.7 888T
1601110482 0.7 760T
1601110483 0.7 538T
1601110485 0.7 1228T
1601110486 0.7 52T
1601110488 0.7 960T
1601110494 0.7 1212T
1601110496 0.7 1056T
1601110498 0.7 755T
1601110501 0.7 1140T
1601110502 0.7 236T
1601110506 0.7 1050T
1601110508 0.7 889T
1601110510 0.7 1113T
1601110511 0.7 538T
1601110513 0.7 1171T
1601110514 0.7 587T
1601110516 0.7 27T
1601110518 0.7 1006T
1601110519 0.7 562T
1601110520 0.7 52T
1601110522 0.7 889T
1601110523 0.7 236T
1601110525 0.7 7T
1601110528 0.7 52T
1601110529 0.7 1011T
1601110531 0.7 177T
1601110534 0.7 538T
1601110536 0.7 805T
1601110538 0.7 1107T
1601110539 0.7 123T
1601110541 0.7 314T
1601110543 0.7 946T
1601110545 0.7 1164T
1601110547 0.7 808T
1601110549 0.7 1099T
1601110551 0.7 538T
1601110554 0.7 347T
1601110555 0.7 538T
1601110557 0.7 1277T
1601110559 0.7 271T
1601110561 0.7 368T
1601110562 0.7 371T
1601110565 0.7 63T
1601110567 0.7 852T
1601110569 0.7 123T
1601110571 0.7 631T
1601110574 0.7 952T
1601110576 0.7 115T
1601110579 0.7 787T
1601110580 0.7 1165T
1601110580 0.7 1159T
1601110583 0.7 706T
1601110584 0.7 1072T
1601110587 0.7 631T
1601110589 0.7 1185T
1601110591 0.7 1301T
1601110595 0.7 538T
1601110599 0.7 646T
1601110602 0.7 925T
1601110606 0.7 538T
1601110610 0.7 1009T
1601110613 0.7 264T
1601110614 0.7 814T
1601110619 0.7 538T
1601110624 0.7 1056T
1601110627 0.7 35T
1601110629 0.7 347T
1601110633 0.7 538T
1601110636 0.7 123T
1601110641 0.7 704T
1601110642 0.7 101T
1601110644 0.7 158T
1601110645 0.7 957T
1601110646 0.7 544T
1601110648 0.7 1184T
1601110648 0.7 538T
1601110651 0.7 646T
1601110654 0.7 538T
1601110657 0.7 272T
1601110660 0.7 248T
1601110663 0.7 1277T
1601110668 0.7 86T
1601110672 0.7 1240T
1601110674 0.7 123T
1601110676 0.7 1083T
1601110678 0.7 269T
1601110680 0.7 1198T
1601110683 0.7 538T
1601110686 0.7 527T
1601110687 0.7 912T
1601110689 0.7 631T
1601110691 0.7 994T
1601110694 0.7 925T
1601110696 0.7 1239T
1601110699 0.7 538T
1601110702 0.7 1279T
1601110704 0.7 963T
1601110706 0.7 1191T
1601110708 0.7 1275T
1601110709 0.7 1035T
1601110712 0.7 573T
1601110715 0.7 659T
1601110717 0.7 1083T
1601110719 0.7 1131T
1601110721 0.7 1143T
1601110723 0.7 323T
1601110725 0.7 123T
1601110727 0.7 236T
1601110730 0.7 52T
1601110731 0.7 123T
1601110733 0.7 1061T
1601110734 0.7 86T
1601110736 0.7 324T
1601110740 0.7 538T
1601110742 0.7 52T
1601110745 0.7 581T
1601110747 0.7 787T
1601110749 0.7 337T
1601110751 0.7 538T
1601110754 0.7 1289T
1601110755 0.7 625T
1601110756 0.7 52T
1601110758 0.7 1231T
1601110759 0.7 886T
1601110761 0.7 52T
1601110762 0.7 1078T
1601110766 0.7 661T
1601110768 0.7 590T
1601110769 0.7 694T
1601110771 0.7 52T
1601110773 0.7 572T
1601110775 0.7 936T
1601110778 0.7 115T
1601110780 0.7 1306T
1601110781 0.7 538T
1601110785 0.7 588T
1601110786 0.7 627T
1601110788 0.7 1227T
1601110789 0.7 236T
1601110791 0.7 788T
1601110794 0.7 1078T
1601110796 0.7 1089T
1601110800 0.7 646T
1601110801 0.7 1326T
1601110803 0.7 66T
1601110805 0.7 1142T
1601110806 0.7 183T
1601110809 0.7 538T
1601110812 0.7 1262T
1601110815 0.7 1115T
1601110817 0.7 168T
1601110819 0.7 939T
1601110821 0.7 954T
1601110823 0.7 22T
1601110825 0.7 101T
1601110826 0.7 898T
1601110829 0.7 663T
1601110830 0.7 246T
1601110832 0.7 1281T
1601110836 0.7 1122T
1601110837 0.7 27T
1601110839 0.7 538T
1601110841 0.7 1185T
1601110844 0.7 160T
1601110846 0.7 1232T
1601110850 0.7 1262T
1601110851 0.7 1168T
1601110853 0.7 1289T
1601110855 0.7 1262T
1601110858 0.7 771T
1601110861 0.7 236T
1601110862 0.7 1239T
1601110865 0.7 1052T
1601110867 0.7 538T
1601110870 0.7 1070T
1601110873 0.7 685T
1601110874 0.7 1140T
1601110878 0.7 52T
1601110880 0.7 525T
1601110881 0.7 1191T
1601110883 0.7 324T
1601110886 0.7 538T
1601110888 0.7 1064T
1601110891 0.7 277T
1601110893 0.7 52T
1601110895 0.7 538T
1601110897 0.7 52T
1601110899 0.7 123T
