time noise chunk
1601016239 0.7 538t
1601016270 0.7 803T
1601016274 0.7 1056T
1601016285 0.7 1238T
1601016287 0.7 1161T
1601016287 0.7 896T
1601016290 0.7 52T
1601016292 0.7 1115T
1601016295 0.7 1209T
1601016296 0.7 236T
1601016298 0.7 1181T
1601016305 0.7 333T
1601016306 0.7 1216T
1601016307 0.7 1271T
1601016309 0.7 1242T
1601016310 0.7 538T
1601016312 0.7 998T
1601016315 0.7 538T
1601016318 0.7 1279T
1601016319 0.7 102T
1601016320 0.7 538T
1601016322 0.7 321T
1601016322 0.7 815T
1601016324 0.7 1033T
1601016325 0.7 52T
1601016326 0.7 1137T
1601016327 0.7 821T
1601016330 0.7 52T
1601016332 0.7 236T
1601016337 0.7 538T
1601016340 0.7 123T
1601016341 0.7 755T
1601016343 0.7 236T
1601016345 0.7 1083T
1601016348 0.7 1061T
1601016351 0.7 1074T
1601016353 0.7 1206T
1601016356 0.7 1260T
1601016357 0.7 538T
1601016362 0.7 1262T
1601016363 0.7 755T
1601016365 0.7 718T
1601016366 0.7 1070T
1601016369 0.7 52T
1601016370 0.7 705T
1601016371 0.7 1207T
1601016375 0.7 275T
1601016378 0.7 538T
1601016380 0.7 520T
1601016383 0.7 66T
1601016384 0.7 236T
1601016385 0.7 52T
1601016386 0.7 123T
1601016394 0.7 645T
1601016395 0.7 538T
1601016396 0.7 1035T
1601016397 0.7 1056T
1601016399 0.7 774T
1601016401 0.7 52T
1601016403 0.7 1181T
1601016404 0.7 236T
1601016407 0.7 704T
1601016410 0.7 1293T
1601016411 0.7 321T
1601016413 0.7 624T
1601016415 0.7 1146T
1601016417 0.7 1034T
1601016418 0.7 852T
1601016419 0.7 1171T
1601016421 0.7 850T
1601016422 0.7 123T
1601016424 0.7 1144T
1601016425 0.7 236T
1601016429 0.7 340T
1601016432 0.7 656T
1601016434 0.7 631T
1601016436 0.7 1064T
1601016438 0.7 538T
1601016440 0.7 952T
1601016442 0.7 1262T
1601016444 0.7 874T
1601016447 0.7 1255T
1601016450 0.7 236T
1601016453 0.7 1242T
1601016457 0.7 1320T
1601016460 0.7 635T
1601016465 0.7 1121T
1601016467 0.7 1200T
1601016469 0.7 538T
1601016470 0.7 1180T
1601016473 0.7 1032T
1601016474 0.7 886T
1601016476 0.7 1056T
1601016481 0.7 1101T
1601016483 0.7 650T
1601016485 0.7 538T
1601016487 0.7 274T
1601016489 0.7 538T
1601016490 0.7 35T
1601016492 0.7 538T
1601016494 0.7 559T
1601016495 0.7 538T
1601016499 0.7 78T
1601016501 0.7 538T
1601016504 0.7 1316T
1601016507 0.7 73T
1601016508 0.7 814T
1601016510 0.7 7T
1601016511 0.7 578T
1601016512 0.7 1279T
1601016516 0.7 277T
1601016519 0.7 1139T
1601016520 0.7 1215T
1601016522 0.7 586T
1601016524 0.7 787T
1601016526 0.7 538T
1601016531 0.7 952T
1601016534 0.7 1171T
1601016537 0.7 723T
1601016539 0.7 1109T
1601016542 0.7 829T
1601016543 0.7 538T
1601016545 0.7 1174T
1601016546 0.7 1275T
1601016549 0.7 1230T
1601016551 0.7 67T
1601016554 0.7 538T
1601016557 0.7 1207T
1601016560 0.7 897T
1601016562 0.7 1061T
1601016565 0.7 1233T
1601016568 0.7 286T
1601016570 0.7 942T
1601016572 0.7 656T
1601016573 0.7 1260T
1601016576 0.7 333T
1601016577 0.7 287T
1601016578 0.7 52T
1601016579 0.7 238T
1601016581 0.7 52T
1601016583 0.7 538T
1601016586 0.7 1181T
1601016589 0.7 1186T
1601016593 0.7 169T
1601016595 0.7 257T
1601016597 0.7 538T
1601016599 0.7 952T
1601016600 0.7 556T
1601016601 0.7 52T
1601016603 0.7 1263T
1601016606 0.7 246T
1601016607 0.7 1081T
1601016612 0.7 1083T
1601016614 0.7 88T
1601016615 0.7 1179T
1601016616 0.7 538T
1601016618 0.7 826T
1601016620 0.7 538T
1601016622 0.7 550T
1601016624 0.7 757T
1601016626 0.7 1319T
1601016627 0.7 538T
1601016629 0.7 1172T
1601016631 0.7 97T
1601016634 0.7 153T
1601016636 0.7 1089T
1601016638 0.7 1078T
1601016643 0.7 807T
1601016646 0.7 116T
1601016647 0.7 695T
1601016648 0.7 538T
1601016650 0.7 830T
1601016651 0.7 278T
1601016655 0.7 326T
1601016658 0.7 1181T
1601016659 0.7 538T
1601016661 0.7 797T
1601016664 0.7 722T
1601016666 0.7 910T
1601016668 0.7 611T
1601016670 0.7 236T
1601016671 0.7 1056T
1601016675 0.7 1089T
1601016679 0.7 315T
1601016682 0.7 878T
1601016685 0.7 1215T
1601016686 0.7 1157T
1601016688 0.7 538T
1601016693 0.7 760T
1601016696 0.7 826T
1601016699 0.7 547T
1601016701 0.7 744T
1601016703 0.7 236T
1601016705 0.7 538T
1601016708 0.7 826T
1601016711 0.7 1230T
1601016714 0.7 1275T
1601016717 0.7 1296T
1601016719 0.7 1121T
1601016720 0.7 853T
1601016724 0.7 236T
1601016726 0.7 852T
1601016731 0.7 636T
1601016733 0.7 1187T
1601016737 0.7 1158T
1601016739 0.7 964T
1601016741 0.7 751T
1601016742 0.7 1146T
1601016743 0.7 1275T
1601016745 0.7 1136T
1601016746 0.7 52T
1601016747 0.7 891T
1601016749 0.7 272T
1601016752 0.7 516T
1601016754 0.7 236T
1601016756 0.7 1033T
1601016759 0.7 1136T
1601016761 0.7 704T
1601016763 0.7 1143T
1601016768 0.7 538T
1601016771 0.7 843T
1601016772 0.7 605T
1601016774 0.7 1061T
1601016776 0.7 602T
1601016777 0.7 538T
1601016781 0.7 536T
1601016783 0.7 538T
1601016786 0.7 673T
1601016787 0.7 808T
1601016788 0.7 1227T
1601016790 0.7 1171T
1601016794 0.7 101T
1601016797 0.7 658T
1601016799 0.7 668T
1601016803 0.7 153T
1601016806 0.7 930T
1601016808 0.7 1070T
1601016808 0.7 912T
1601016809 0.7 1138T
1601016811 0.7 1124T
1601016815 0.7 1060T
1601016817 0.7 52T
1601016820 0.7 88T
1601016822 0.7 1083T
1601016824 0.7 1076T
1601016827 0.7 963T
1601016830 0.7 978T
1601016834 0.7 722T
1601016838 0.7 538T
1601016842 0.7 775T
1601016845 0.7 538T
1601016847 0.7 1262T
1601016850 0.7 538T
1601016853 0.7 852T
1601016854 0.7 1333T
1601016857 0.7 123T
1601016858 0.7 538T
1601016860 0.7 994T
1601016861 0.7 298T
1601016862 0.7 552T
1601016864 0.7 248T
1601016865 0.7 586T
1601016866 0.7 734T
1601016868 0.7 538T
1601016870 0.7 978T
1601016873 0.7 1262T
1601016876 0.7 544T
1601016877 0.7 952T
1601016879 0.7 607T
1601016880 0.7 1185T
1601016882 0.7 866T
1601016884 0.7 736T
1601016885 0.7 538T
1601016888 0.7 256T
1601016890 0.7 892T
1601016895 0.7 677T
1601016898 0.7 538T
1601016900 0.7 849T
1601016902 0.7 1146T
1601016903 0.7 538T
