time noise chunk
1600155946 0.7 538t
1600155977 0.7 1051T
1600156005 0.7 830T
1600156053 0.7 1185T
1600156067 0.7 761T
1600156070 0.7 816T
1600156071 0.7 734T
1600156072 0.7 949T
1600156073 0.7 872T
1600156073 0.7 1243T
1600156075 0.7 1056T
1600156075 0.7 888T
1600156076 0.7 1332T
1600156077 0.7 1205T
1600156078 0.7 1032T
1600156079 0.7 339T
1600156079 0.7 557T
1600156081 0.7 793T
1600156082 0.7 864T
1600156083 0.7 1056T
1600156083 0.7 123T
1600156085 0.7 1249T
1600156086 0.7 669T
1600156087 0.7 636T
1600156088 0.7 1333T
1600156089 0.7 1115T
1600156091 0.7 709T
1600156093 0.7 249T
1600156093 0.7 96T
1600156094 0.7 52T
1600156095 0.7 1171T
1600156096 0.7 1267T
1600156096 0.7 550T
1600156097 0.7 1151T
1600156098 0.7 775T
1600156098 0.7 1146T
1600156099 0.7 646T
1600156099 0.7 758T
1600156100 0.7 1083T
1600156101 0.7 1121T
1600156102 0.7 87T
1600156102 0.7 517T
1600156103 0.7 673T
1600156105 0.7 1314T
1600156105 0.7 6T
1600156106 0.7 586T
1600156107 0.7 1138T
1600156108 0.7 1122T
1600156108 0.7 720T
1600156109 0.7 1198T
1600156110 0.7 104T
1600156111 0.7 760T
1600156113 0.7 52T
1600156113 0.7 714T
1600156115 0.7 1082T
1600156116 0.7 886T
1600156117 0.7 892T
1600156118 0.7 149T
1600156119 0.7 734T
1600156122 0.7 538T
1600156122 0.7 1070T
1600156123 0.7 1130T
1600156124 0.7 240T
1600156126 0.7 176T
1600156127 0.7 538T
1600156128 0.7 1242T
1600156129 0.7 1129T
1600156129 0.7 1242T
1600156130 0.7 1056T
1600156131 0.7 1207T
1600156131 0.7 123T
1600156133 0.7 1243T
1600156134 0.7 557T
1600156134 0.7 252T
1600156136 0.7 4T
1600156137 0.7 1056T
1600156139 0.7 538T
1600156139 0.7 521T
1600156140 0.7 627T
1600156141 0.7 1262T
