time noise chunk
1599896500 0.7 786t
1599896567 0.7 1149T
1599896573 0.7 1215T
1599896575 0.7 52T
1599896579 0.7 236T
1599896580 0.7 948T
1599896581 0.7 158T
1599896581 0.7 236T
1599896583 0.7 1089T
1599896584 0.7 948T
1599896584 0.7 704T
1599896589 0.7 1005T
1599896590 0.7 1010T
1599896590 0.7 741T
1599896591 0.7 1254T
1599896593 0.7 236T
1599896594 0.7 538T
1599896595 0.7 309T
1599896599 0.7 333T
1599896599 0.7 1193T
1599896600 0.7 674T
1599896603 0.7 307T
1599896604 0.7 1139T
1599896605 0.7 790T
1599896606 0.7 123T
1599896607 0.7 834T
1599896608 0.7 538T
1599896609 0.7 1233T
1599896610 0.7 19T
1599896611 0.7 52T
1599896611 0.7 791T
1599896612 0.7 538T
1599896613 0.7 603T
1599896616 0.7 168T
1599896617 0.7 302T
1599896618 0.7 538T
1599896619 0.7 757T
1599896620 0.7 776T
1599896620 0.7 1070T
1599896621 0.7 538T
1599896622 0.7 552T
1599896622 0.7 538T
1599896623 0.7 1169T
1599896624 0.7 1157T
1599896625 0.7 1115T
1599896626 0.7 1293T
1599896627 0.7 123T
1599896628 0.7 236T
1599896629 0.7 26T
1599896629 0.7 1198T
1599896630 0.7 538T
1599896631 0.7 95T
1599896632 0.7 909T
1599896633 0.7 650T
1599896636 0.7 109T
1599896637 0.7 538T
1599896637 0.7 654T
1599896638 0.7 1136T
1599896640 0.7 1126T
1599896641 0.7 538T
1599896642 0.7 994T
1599896644 0.7 342T
1599896645 0.7 1331T
1599896646 0.7 538T
1599896647 0.7 826T
1599896647 0.7 881T
1599896648 0.7 1140T
1599896649 0.7 1115T
1599896649 0.7 1031T
1599896651 0.7 1335T
1599896651 0.7 236T
1599896652 0.7 249T
1599896654 0.7 893T
1599896655 0.7 634T
1599896656 0.7 1064T
1599896657 0.7 714T
1599896660 0.7 1082T
1599896662 0.7 950T
1599896664 0.7 1077T
1599896665 0.7 704T
1599896666 0.7 159T
1599896667 0.7 1052T
1599896668 0.7 538T
1599896668 0.7 1056T
1599896669 0.7 538T
1599896670 0.7 265T
1599896671 0.7 277T
1599896673 0.7 1070T
1599896673 0.7 1319T
1599896674 0.7 1144T
1599896676 0.7 963T
1599896677 0.7 176T
1599896677 0.7 52T
1599896678 0.7 179T
1599896680 0.7 249T
1599896680 0.7 6T
1599896681 0.7 538T
1599896681 0.7 827T
1599896682 0.7 538T
1599896683 0.7 637T
1599896683 0.7 1119T
1599896685 0.7 1207T
1599896685 0.7 1148T
1599896687 0.7 1249T
1599896687 0.7 764T
1599896688 0.7 1139T
1599896689 0.7 617T
1599896691 0.7 1165T
1599896691 0.7 1056T
1599896692 0.7 1233T
1599896693 0.7 1198T
1599896694 0.7 66T
1599896695 0.7 813T
1599896695 0.7 755T
1599896696 0.7 1240T
1599896697 0.7 1139T
1599896698 0.7 704T
1599896699 0.7 796T
1599896700 0.7 245T
1599896700 0.7 886T
1599896701 0.7 1115T
1599896703 0.7 622T
1599896704 0.7 815T
1599896704 0.7 1076T
1599896705 0.7 740T
1599896706 0.7 704T
1599896709 0.7 1186T
1599896709 0.7 538T
1599896710 0.7 1161T
1599896713 0.7 555T
1599896713 0.7 659T
1599896715 0.7 236T
1599896716 0.7 300T
1599896717 0.7 327T
1599896717 0.7 645T
1599896718 0.7 1101T
1599896719 0.7 301T
1599896720 0.7 1336T
1599896720 0.7 777T
1599896722 0.7 930T
1599896722 0.7 516T
1599896723 0.7 1096T
1599896724 0.7 1181T
1599896725 0.7 704T
1599896727 0.7 52T
1599896729 0.7 1056T
