time noise chunk
1599105294 0.7 538t
1599107769 0.7 952T
1599107770 0.7 1233T
1599107771 0.7 602T
1599107792 0.7 587T
1599107793 0.7 1125T
1599107797 0.7 538T
1599107799 0.7 123T
1599107805 0.7 670T
1599107810 0.7 538T
1599107812 0.7 891T
1599107814 0.7 547T
1599107816 0.7 538T
1599107818 0.7 584T
1599107821 0.7 1243T
1599107823 0.7 678T
1599107825 0.7 1115T
1599107828 0.7 634T
1599107831 0.7 725T
1599107834 0.7 590T
1599107835 0.7 953T
1599107837 0.7 86T
1599107842 0.7 52T
1599107846 0.7 852T
1599107855 0.7 704T
1599107858 0.7 1046T
1599107859 0.7 1260T
1599107861 0.7 1056T
1599107863 0.7 52T
1599107865 0.7 660T
1599107868 0.7 757T
1599107869 0.7 709T
1599107873 0.7 695T
1599107875 0.7 584T
1599107876 0.7 538T
1599107878 0.7 1280T
1599107881 0.7 994T
1599107883 0.7 538T
1599107886 0.7 662T
1599107889 0.7 257T
1599107891 0.7 52T
1599107892 0.7 1319T
1599107894 0.7 820T
1599107896 0.7 1161T
1599107898 0.7 52T
1599107899 0.7 29T
1599107901 0.7 580T
1599107904 0.7 538T
1599107908 0.7 826T
1599107910 0.7 538T
1599107912 0.7 1115T
1599107915 0.7 1083T
1599107922 0.7 1240T
1599107925 0.7 669T
1599107926 0.7 52T
1599107929 0.7 236T
1599107930 0.7 317T
1599107932 0.7 606T
1599107933 0.7 375T
1599107938 0.7 567T
1599107941 0.7 1149T
1599107942 0.7 1089T
1599107944 0.7 282T
1599107945 0.7 317T
1599107947 0.7 1115T
1599107953 0.7 538T
1599107954 0.7 1216T
1599107957 0.7 1171T
1599107959 0.7 100T
1599107961 0.7 1151T
1599107963 0.7 674T
1599107964 0.7 704T
1599107967 0.7 1264T
1599107968 0.7 887T
1599107971 0.7 538T
1599107972 0.7 626T
1599107973 0.7 915T
1599107975 0.7 1319T
1599107977 0.7 69T
1599107981 0.7 538T
1599107982 0.7 787T
1599107984 0.7 538T
1599107986 0.7 123T
1599107987 0.7 1078T
1599107989 0.7 625T
1599107991 0.7 1215T
1599107993 0.7 538T
1599107995 0.7 295T
1599107997 0.7 952T
1599108000 0.7 672T
1599108004 0.7 1180T
1599108008 0.7 29T
1599108019 0.7 158T
1599108022 0.7 1243T
1599108024 0.7 1245T
